Peptides,InterPro-entry,Name
56,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
24,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
23,IPR:IPR003593,AAA+ ATPase domain
17,IPR:IPR013783,Immunoglobulin-like fold
17,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
17,IPR:IPR036390,Winged helix DNA-binding domain superfamily
12,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
11,IPR:IPR029044,Nucleotide-diphospho-sugar transferases
11,IPR:IPR003439,ABC transporter-like
10,IPR:IPR014729,Rossmann-like alpha/beta/alpha sandwich fold
