Peptides,InterPro-entry,Name
1,IPR:IPR020845,"AMP-binding, conserved site"
1,IPR:IPR042099,AMP-dependent synthetase-like superfamily
1,IPR:IPR000873,AMP-dependent synthetase/ligase
1,IPR:IPR025110,"AMP-binding enzyme, C-terminal domain"
1,IPR:IPR004155,PBS lyase HEAT-like repeat
1,IPR:IPR016024,Armadillo-type fold
1,IPR:IPR010982,"Lambda repressor-like, DNA-binding domain superfamily"
1,IPR:IPR011989,Armadillo-like helical
1,IPR:IPR007111,NACHT nucleoside triphosphatase
1,IPR:IPR001387,Cro/C1-type helix-turn-helix domain
