Peptides,InterPro-entry,Name
6,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
4,IPR:IPR003593,AAA+ ATPase domain
3,IPR:IPR008147,"Glutamine synthetase, beta-Grasp domain"
3,IPR:IPR008146,"Glutamine synthetase, catalytic domain"
3,IPR:IPR036651,"Glutamine synthetase, N-terminal domain superfamily"
3,IPR:IPR001637,"Glutamine synthetase class-I, adenylation site"
3,IPR:IPR014746,"Glutamine synthetase/guanido kinase, catalytic domain"
3,IPR:IPR004809,Glutamine synthetase type I
3,IPR:IPR027303,"Glutamine synthetase, glycine-rich site"
3,IPR:IPR027302,"Glutamine synthetase, N-terminal conserved site"
