Peptides,InterPro-entry,Name
1,IPR:IPR008963,"Purple acid phosphatase-like, N-terminal"
1,IPR:IPR013783,Immunoglobulin-like fold
1,IPR:IPR015914,"Purple acid phosphatase, N-terminal"
1,IPR:IPR003961,Fibronectin type III
1,IPR:IPR020003,"ATPase, alpha/beta subunit, nucleotide-binding domain, active site"
1,IPR:IPR024034,"ATPase, F1/V1 complex, beta/alpha subunit, C-terminal"
1,IPR:IPR004149,"Zinc-finger, NAD-dependent DNA ligase C4-type"
1,IPR:IPR004150,"NAD-dependent DNA ligase, OB-fold"
1,IPR:IPR018239,"NAD-dependent DNA ligase, active site"
1,IPR:IPR010994,RuvA domain 2-like
