Peptides,InterPro-entry,Name
12,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
7,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
7,IPR:IPR036390,Winged helix DNA-binding domain superfamily
7,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
7,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
5,IPR:IPR035965,PAS domain superfamily
5,IPR:IPR000700,"PAS-associated, C-terminal"
5,IPR:IPR000014,PAS domain
5,IPR:IPR003594,Histidine kinase/HSP90-like ATPase
4,IPR:IPR005467,Histidine kinase domain
