Peptides,InterPro-entry,Name
6,IPR:IPR001638,Solute-binding protein  family 3/N-terminal domain of MltF
6,IPR:IPR006311,"Twin-arginine translocation pathway, signal sequence"
5,IPR:IPR006656,Molybdopterin oxidoreductase
5,IPR:IPR009010,Aspartate decarboxylase-like domain superfamily
5,IPR:IPR006963,"Molybdopterin oxidoreductase, 4Fe-4S domain"
4,IPR:IPR018313,"Solute-binding protein family 3, conserved site"
4,IPR:IPR017896,"4Fe-4S ferredoxin-type, iron-sulphur binding domain"
4,IPR:IPR006059,Bacterial extracellular solute-binding protein
3,IPR:IPR036291,NAD(P)-binding domain superfamily
3,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
