Peptides,InterPro-entry,Name
2,IPR:IPR018313,"Solute-binding protein family 3, conserved site"
2,IPR:IPR001638,Solute-binding protein  family 3/N-terminal domain of MltF
1,IPR:IPR017896,"4Fe-4S ferredoxin-type, iron-sulphur binding domain"
1,IPR:IPR028299,"ClpA/B, conserved site 2"
1,IPR:IPR019489,"Clp ATPase, C-terminal"
1,IPR:IPR001270,ClpA/B family
1,IPR:IPR003959,"ATPase, AAA-type, core"
1,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
1,IPR:IPR003593,AAA+ ATPase domain
1,IPR:IPR041546,"ClpA/ClpB, AAA lid domain"
