Peptides,InterPro-entry,Name
7,IPR:IPR009050,Globin-like superfamily
7,IPR:IPR038719,"Phycobilisome, alpha/beta subunit superfamily"
7,IPR:IPR012128,"Phycobilisome, alpha/beta subunit"
4,IPR:IPR020818,GroES chaperonin family
4,IPR:IPR018369,"Chaperonin GroES, conserved site"
4,IPR:IPR011032,GroES-like superfamily
4,IPR:IPR037124,GroES chaperonin superfamily
4,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
4,IPR:IPR007159,SpoVT-AbrB domain
4,IPR:IPR027360,AbrB-like transcriptional regulator
