Peptides,InterPro-entry,Name
67,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
27,IPR:IPR003593,AAA+ ATPase domain
24,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
24,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
18,IPR:IPR003594,Histidine kinase/HSP90-like ATPase
17,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
17,IPR:IPR013783,Immunoglobulin-like fold
16,IPR:IPR005467,Histidine kinase domain
15,IPR:IPR036390,Winged helix DNA-binding domain superfamily
15,IPR:IPR004358,"Signal transduction histidine kinase-related protein, C-terminal"
