Peptides,InterPro-entry,Name
9,IPR:IPR006059,Bacterial extracellular solute-binding protein
7,IPR:IPR001638,Solute-binding protein  family 3/N-terminal domain of MltF
4,IPR:IPR018389,TRAP transporter solute receptor DctP/TeaA
4,IPR:IPR038404,TRAP transporter solute receptor DctP superfamily
4,IPR:IPR026289,"Solute binding protein, TakP-like"
3,IPR:IPR006311,"Twin-arginine translocation pathway, signal sequence"
2,IPR:IPR006656,Molybdopterin oxidoreductase
2,IPR:IPR009010,Aspartate decarboxylase-like domain superfamily
2,IPR:IPR006963,"Molybdopterin oxidoreductase, 4Fe-4S domain"
2,IPR:IPR028081,Leucine-binding protein domain
