Peptides,InterPro-entry,Name
13,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
7,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
7,IPR:IPR003593,AAA+ ATPase domain
6,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
6,IPR:IPR029058,Alpha/Beta hydrolase fold
5,IPR:IPR036291,NAD(P)-binding domain superfamily
5,IPR:IPR036390,Winged helix DNA-binding domain superfamily
4,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
4,IPR:IPR029044,Nucleotide-diphospho-sugar transferases
4,IPR:IPR001173,Glycosyltransferase 2-like
