Peptides,InterPro-entry,Name
26,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
11,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
10,IPR:IPR006311,"Twin-arginine translocation pathway, signal sequence"
9,IPR:IPR018389,TRAP transporter solute receptor DctP/TeaA
9,IPR:IPR038404,TRAP transporter solute receptor DctP superfamily
9,IPR:IPR036390,Winged helix DNA-binding domain superfamily
8,IPR:IPR026289,"Solute binding protein, TakP-like"
8,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
8,IPR:IPR028082,Periplasmic binding protein-like I
8,IPR:IPR003593,AAA+ ATPase domain
