Peptides,InterPro-entry,Name
1,IPR:IPR036866,Ribonuclease Z/Hydroxyacylglutathione hydrolase-like
1,IPR:IPR013471,Ribonuclease Z/BN
1,IPR:IPR001279,Metallo-beta-lactamase
1,IPR:IPR034739,"UvrD/AddA helicase, N-terminal"
1,IPR:IPR036844,Hint domain superfamily
1,IPR:IPR013986,DExx box DNA helicase domain superfamily
1,IPR:IPR000212,"DNA helicase, UvrD/REP type"
1,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
1,IPR:IPR003586,Hint domain C-terminal
1,IPR:IPR030934,Intein C-terminal splicing region
