Peptides,InterPro-entry,Name
81,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
43,IPR:IPR000217,Tubulin
41,IPR:IPR036525,"Tubulin/FtsZ, GTPase domain superfamily"
40,IPR:IPR003008,"Tubulin/FtsZ, GTPase domain"
39,IPR:IPR008280,"Tubulin/FtsZ, C-terminal"
38,IPR:IPR037103,"Tubulin/FtsZ, C-terminal domain superfamily"
37,IPR:IPR018316,"Tubulin/FtsZ, 2-layer sandwich domain"
34,IPR:IPR003593,AAA+ ATPase domain
31,IPR:IPR017975,"Tubulin, conserved site"
29,IPR:IPR023123,"Tubulin, C-terminal"
