Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_1,Area RAL95_trypsin_MED_1,#Peptides,#Unique,#Spec RAL95_trypsin_MED_1,PTM,Avg. Mass,Description
1,142749,WP_042850982,261.21,68,68,1.21E10,96,20,831,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),57654,molecular chaperone GroEL Prochlorococcus sp MIT 0604
2,142750,ETNP14_68,245.14,54,54,2.89E8,71,1,658,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),57434,60 kDa chaperonin 1
3,142751,WP_038654071,243.97,52,52,2.29E8,71,3,654,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),57282,molecular chaperone GroEL Prochlorococcus sp MIT 0801
4,142752,WP_011130817,240.94,53,53,0E0,66,1,623,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),57397,molecular chaperone GroEL Prochlorococcus marinus
7,142761,ETNP14_68,227.70,48,48,6.38E6,61,1,296,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),57311,60 kDa chaperonin 1
13,142891,WP_042849726,207.52,43,43,2.94E9,24,24,84,Carbamidomethylation; Oxidation (M); Deamidation (NQ),28075,photosystem II manganese-stabilizing polypeptide Prochlorococcus sp MIT 0604
13,142892,NP_30,207.52,41,41,2.94E9,24,24,84,Carbamidomethylation; Oxidation (M); Deamidation (NQ),29771,Photosystem II manganese-stabilizing polypeptide precursor
24,142760,WP_042851030,207.05,39,39,3.18E8,34,13,60,Carbamidomethylation; Oxidation (M); Deamidation (NQ),123048,DNA-directed RNA polymerase subunit beta Prochlorococcus sp MIT 0604
10,142769,WP_038654853,188.31,35,35,9.12E7,22,1,96,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),67894,molecular chaperone DnaK Prochlorococcus sp MIT 0801
27,142765,WP_025900755,188.13,43,43,6.33E8,31,17,61,Carbamidomethylation; Oxidation (M); Deamidation (NQ),67114,cell division protein FtsH Prochlorococcus
22,142762,WP_002805854,183.57,46,46,1.77E9,24,21,69,Carbamidomethylation; Oxidation (M),52574,ribulose bisphosphate carboxylase large chain Prochlorococcus
14,142771,WP_002806605,183.12,56,56,1.33E7,23,1,72,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),43652,elongation factor Tu Prochlorococcus
12,142768,WP_002805805,177.80,55,55,1.25E8,16,4,86,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Cation:Fe[II],34935,cysteine synthase Prochlorococcus
46,142776,WP_042850567,175.32,36,36,5.64E7,26,6,44,Carbamidomethylation; Oxidation (M),93357,Clp protease ClpX Prochlorococcus sp MIT 0604
54,142770,WP_011819053,174.48,45,45,4.88E7,19,5,40,Oxidation (M); Deamidation (NQ); Cation:Fe[II],52183,ATP synthase subunit beta Prochlorococcus
42,142782,WP_042851028,174.37,22,22,9.97E7,25,7,45,Carbamidomethylation; Oxidation (M); Deamidation (NQ),149630,DNA-directed RNA polymerase subunit beta Prochlorococcus sp MIT 0604
8,142946,NP_30,173.50,83,83,1.52E10,29,17,243,Methylation(KR),10731,10 kDa chaperonin
58,142895,WP_011862755,173.47,43,43,5.98E8,19,7,37,Oxidation (M); Methylation(KR),34158,phosphate ABC transporter substrate-binding protein Prochlorococcus
29,142860,ETNP_60,173.05,47,47,3.24E8,15,2,59,Deamidation (NQ),31083,Photosystem II protein
73,142767,WP_042849723,172.80,36,36,1.18E8,17,7,31,Carbamidomethylation; Oxidation (M),66795,cell division protein FtsH Prochlorococcus sp MIT 0604
59,142823,WP_011376344,170.58,50,50,6.61E8,16,16,37,Carbamidomethylation; Oxidation (M),38970,fructose-bisphosphate aldolase Prochlorococcus
38,142777,WP_042850352,169.10,33,33,1.11E9,23,23,48,Carbamidomethylation; Oxidation (M); Deamidation (NQ),72520,molecular chaperone Hsp90 Prochlorococcus sp MIT 0604
72,142766,WP_042851049,167.14,28,28,2.23E8,15,15,30,Carbamidomethylation; Oxidation (M),75614,elongation factor G Prochlorococcus sp MIT 0604
20,142806,WP_042851397,166.90,30,30,4.68E8,19,4,65,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),68108,molecular chaperone DnaK Prochlorococcus sp MIT 0604
25,142795,WP_042850092,164.51,41,41,7.81E8,17,3,61,Oxidation (M); Deamidation (NQ),47897,O-acetylhomoserine aminocarboxypropyltransferase Prochlorococcus sp MIT 0604
26,142862,ETNP14_68,164.33,40,40,4.81E5,18,1,51,Oxidation (M),43668,Elongation factor Tu
11,143500,WP_002806330,164.28,63,63,3.21E9,26,26,83,Oxidation (M); Deamidation (NQ),9768,DNA-binding protein Prochlorococcus
21,142772,ETNP_60,162.88,54,54,1.34E5,13,1,71,Carbamidomethylation; Oxidation (M); Methylation(KR),35003,Cysteine synthase A
40,142990,WP_025881525,162.37,52,52,2.83E9,10,10,40,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),21706,peroxiredoxin Prochlorococcus
40,142991,NP_30,162.37,52,52,2.83E9,10,10,40,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),21706,putative peroxiredoxin
74,142779,WP_011130873,162.19,14,14,1.18E7,18,1,33,Carbamidomethylation; Oxidation (M); Deamidation (NQ),149538,DNA-directed RNA polymerase subunit beta Prochlorococcus marinus
32,142865,ETNP_100,162.17,24,24,1.01E5,15,1,59,Carbamidomethylation; Oxidation (M); Deamidation (NQ),68026,Chaperone protein dnaK2
32,142866,ETNP_120,162.17,24,24,1.01E5,15,1,59,Carbamidomethylation; Oxidation (M); Deamidation (NQ),68026,Chaperone protein dnaK2
32,142867,ETNP_120,162.17,24,24,1.01E5,15,1,59,Carbamidomethylation; Oxidation (M); Deamidation (NQ),68026,Chaperone protein dnaK2
85,142802,ETNP_90,162.04,20,20,5.43E7,18,2,27,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),122495,DNA-directed RNA polymerase subunit beta
85,142803,ETNP_120,162.04,20,20,5.43E7,18,2,27,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),122495,DNA-directed RNA polymerase subunit beta
52,142792,WP_038653496,161.60,26,26,6.18E6,20,1,37,Carbamidomethylation; Oxidation (M),95008,Clp protease ClpX Prochlorococcus sp MIT 0801
88,142788,WP_042851037,161.33,21,21,7.63E7,21,13,28,Carbamidomethylation,121851,translation initiation factor IF-2 Prochlorococcus sp MIT 0604
87,142822,WP_042849633,160.70,58,58,2.48E8,17,17,28,Carbamidomethylation; Oxidation (M),27937,two-component system response regulator Prochlorococcus sp MIT 0604
63,142774,WP_042850138,160.53,27,27,2.11E8,14,12,30,Carbamidomethylation; Deamidation (NQ); Methylation(KR),87768,ribonucleotide reductase Prochlorococcus sp MIT 0604
83,142783,ETNP_90,158.77,13,13,4.61E6,17,1,31,Carbamidomethylation; Oxidation (M); Deamidation (NQ),149648,DNA-directed RNA polymerase subunit beta'
117,142836,WP_042850248,157.13,41,41,2.78E8,13,13,22,Carbamidomethylation; Deamidation (NQ),33579,phosphoribulokinase Prochlorococcus sp MIT 0604
37,142807,ETNP_70,156.79,40,40,1.11E9,14,10,50,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39203,Cell division protein FtsZ
137,142842,WP_042850211,156.10,22,22,6.71E7,12,8,20,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Cation:Fe[II],68969,cell division protein FtsH Prochlorococcus sp MIT 0604
104,142784,WP_042849778,154.95,58,58,3.47E7,12,3,25,Carbamidomethylation; Oxidation (M),27730,enoyl-ACP reductase Prochlorococcus sp MIT 0604
61,142831,WP_042850868,154.69,46,46,1.2E8,14,5,31,Carbamidomethylation; Oxidation (M),36375,ketol-acid reductoisomerase Prochlorococcus sp MIT 0604
139,142789,WP_042850426,153.14,20,20,7.36E7,15,15,19,Carbamidomethylation,150024,magnesium chelatase Prochlorococcus sp MIT 0604
107,142854,WP_042849500,152.64,41,41,3.31E8,12,7,24,Methylation(KR),37002,glyceraldehyde-3-phosphate dehydrogenase Prochlorococcus sp MIT 0604
113,143045,WP_042850333,152.42,19,19,1.25E8,10,4,22,Carbamidomethylation,52814,glutamine synthetase Prochlorococcus sp MIT 0604
62,142859,WP_042851062,152.01,21,21,9.38E8,15,14,31,Carbamidomethylation; Methylation(KR),84278,photosystem I P700 chlorophyll a apoprotein A1 Prochlorococcus sp MIT 0604
