Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_2,Area RAL95_trypsin_MED_2,#Peptides,#Unique,#Spec RAL95_trypsin_MED_2,PTM,Avg. Mass,Description
1,9880,PMM1436,471.22,93,93,5.14E10,202,201,1526,Carbamidomethylation; Oxidation (M),57441,| groEL | chaperonin GroEL
3,10366,PMM0452,374.97,69,69,7.89E9,68,67,280,Carbamidomethylation; Oxidation (M),61441,| groEL | chaperonin GroEL
5,12773,PMM0228,372.75,83,83,4.23E9,55,55,179,Carbamidomethylation; Oxidation (M),28114,| psbO | photosystem II manganese-stabilizing protein
6,9777,PMM1704,354.73,70,70,3.87E9,45,45,178,Carbamidomethylation; Oxidation (M),68244,| dnaK | molecular chaperone DnaK
13,9877,PMM1485,353.32,56,56,1.16E9,56,55,118,Carbamidomethylation; Oxidation (M),122908,| rpoB | DNA-directed RNA polymerase subunit beta
14,10439,PMM0710,347.51,67,67,2.21E9,63,63,116,Oxidation (M),33887,| PMM0710 | ABC transporter  substrate binding protein  phosphate
4,16009,PMM0642,346.13,90,90,5.53E9,41,41,180,Carbamidomethylation; Oxidation (M),48059,| cysD | putative O-Acetyl homoserine sulfhydrylase
7,12780,PMM0901,345.07,66,66,2.6E9,55,53,157,Carbamidomethylation; Oxidation (M),72552,| htpG | heat shock protein 90
15,10413,PMM1483,340.53,58,58,1.12E9,63,63,114,Carbamidomethylation; Oxidation (M),149637,| rpoC2 | DNA-directed RNA polymerase subunit beta'
11,16035,PMM0315,332.75,43,43,2.95E9,36,36,131,,56091,| psbB | photosystem II PsbB protein (CP47)
18,10505,PMM1309,316.59,77,77,2.22E9,28,28,95,Carbamidomethylation; Oxidation (M),39151,| ftsZ | cell division protein FtsZ
47,10485,PMM0226,310.53,55,55,2.97E8,28,24,59,Carbamidomethylation; Oxidation (M),66746,| ftsH2 | cell division protein FtsH2
8,10114,PMM1508,306.81,76,76,2.95E9,43,43,153,Carbamidomethylation; Oxidation (M),43622,| tuf | elongation factor Tu
9,16023,PMM0407,303.81,82,82,2.3E9,28,28,144,Carbamidomethylation; Oxidation (M),34981,| cysK1 | O-acetylserine (thiol)-lyase A
28,9970,PMM0970,303.56,59,59,1.26E9,23,23,78,Carbamidomethylation; Oxidation (M),47600,| urtA | putative urea ABC transporter  substrate binding protein
27,16061,PMM0583,303.51,58,58,6.93E8,27,27,78,Oxidation (M),38974,| hemE | uroporphyrinogen decarboxylase
24,9717,PMM1088,302.47,58,58,6.02E8,43,41,83,Carbamidomethylation; Oxidation (M),93427,| clpC | ClpC
22,12807,PMM1264,301.20,52,52,9E8,40,36,89,Carbamidomethylation; Oxidation (M),67227,| ftsH3 | cell division protein FtsH3
12,10638,PMM1350,296.24,70,70,4.32E9,27,27,123,Carbamidomethylation; Oxidation (M),20921,| PMM1350 | pentapeptide repeat-containing protein
25,10147,PMM1191,293.60,55,55,1.01E9,38,36,84,Carbamidomethylation; Oxidation (M),78668,| pnp | polynucleotide phosphorylase/polyadenylase
