,Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg
0,25,2019-10-03 13:31:35,744916.563599537,16.085099999999997,4968.1428,77.584
1,[25],2019-10-03 13:31:35,744916.563599537,16.085099999999997,4968.1428,77.584
2,[28],2019-10-04 11:01:39,744918.4594791667,0.0,0.0,0.0
3,[29],2019-10-04 23:50:04,744918.9931018519,0.0,0.0,0.0
4,[30],2019-10-05 08:39:43,744920.3609143519,0.0,0.0,0.0
5,[31],2019-10-05 14:03:02,744920.5854398148,0.0,0.0,0.0
6,[32],2019-10-05 21:38:22,744920.9016435185,0.0,0.0,0.0
7,[33],2019-10-06 14:14:26,744922.5933564815,0.0,0.0,0.0
8,[34],2019-10-06 19:38:21,744922.8182986111,0.0,0.0,0.0
9,[35],2019-10-06 22:48:57,744922.9506597222,0.0,0.0,0.0
10,[36],2019-10-07 01:47:02,744924.0743287037,0.0,0.0,0.0
11,[37],2019-10-07 07:40:03,744924.3194791666,0.0,0.0,0.0
12,[38],2019-10-07 16:50:08,744924.7014814814,0.0,0.0,0.0
13,[39],2019-10-07 20:45:29,744924.8649189814,0.0,0.0,0.0
14,[40],2019-10-08 01:04:04,744926.0444907408,0.0,0.0,0.0
15,[42],2019-10-08 07:04:45,744926.2949652778,0.0,0.0,0.0
16,[43],2019-10-08 13:20:29,744926.5558912037,0.0,0.0,0.0
17,[44],2019-10-08 15:59:43,744926.6664699074,0.0,0.0,0.0
18,[45],2019-10-08 18:55:51,744926.7887847222,0.0,0.0,0.0
19,[46],2019-10-08 22:10:38,744926.9240509259,0.0,0.0,0.0
20,[47],2019-10-09 01:10:36,744928.0490277777,0.0,0.0,0.0
21,[48],2019-10-09 07:47:50,744928.3248842593,0.0,0.0,0.0
22,[49],2019-10-09 11:32:27,744928.4808680556,0.0,0.0,0.0
23,[50],2019-10-09 14:15:42,744928.5942361112,0.0,0.0,0.0
24,[51],2019-10-09 19:13:01,744928.8007060185,0.0,0.0,0.0
25,[52],2019-10-11 00:09:58,744932.0069212962,0.0,0.0,0.0
26,[53],2019-10-11 04:49:54,744932.2013194445,0.0,0.0,0.0
27,[54],2019-10-11 12:24:17,744932.516863426,0.0,0.0,0.0
28,[55],2019-10-11 19:08:20,744932.7974537037,0.0,0.0,0.0
29,[56],2019-10-11 23:05:27,744932.9621180556,0.0,0.0,0.0
30,[57],2019-10-12 02:30:37,744934.1045949074,0.0,0.0,0.0
31,[58],2019-10-12 10:31:29,744934.4385300926,0.0,0.0,0.0
32,[59],2019-10-12 13:13:32,744934.5510648148,0.0,0.0,0.0
33,[60],2019-10-12 19:49:39,744934.8261458334,0.0,0.0,0.0
34,[61],2019-10-13 05:08:47,744936.2144328704,7.760199999999999,2858.1971,59.605000000000004
35,[25],2019-10-03 13:31:35,744916.563599537,16.085099999999997,4968.1428,77.584
36,[28],2019-10-04 11:01:39,744918.4594791667,0.0,0.0,0.0
37,[29],2019-10-04 23:50:04,744918.9931018519,0.0,0.0,0.0
38,[30],2019-10-05 08:39:43,744920.3609143519,0.0,0.0,0.0
39,[31],2019-10-05 14:03:02,744920.5854398148,0.0,0.0,0.0
40,[32],2019-10-05 21:38:22,744920.9016435185,0.0,0.0,0.0
41,[33],2019-10-06 14:14:26,744922.5933564815,0.0,0.0,0.0
42,[34],2019-10-06 19:38:21,744922.8182986111,0.0,0.0,0.0
43,[35],2019-10-06 22:48:57,744922.9506597222,0.0,0.0,0.0
44,[36],2019-10-07 01:47:02,744924.0743287037,0.0,0.0,0.0
45,[37],2019-10-07 07:40:03,744924.3194791666,0.0,0.0,0.0
46,[38],2019-10-07 16:50:08,744924.7014814814,0.0,0.0,0.0
47,[39],2019-10-07 20:45:29,744924.8649189814,0.0,0.0,0.0
48,[40],2019-10-08 01:04:04,744926.0444907408,0.0,0.0,0.0
49,[42],2019-10-08 07:04:45,744926.2949652778,0.0,0.0,0.0
50,[43],2019-10-08 13:20:29,744926.5558912037,0.0,0.0,0.0
51,[44],2019-10-08 15:59:43,744926.6664699074,0.0,0.0,0.0
52,[45],2019-10-08 18:55:51,744926.7887847222,0.0,0.0,0.0
53,[46],2019-10-08 22:10:38,744926.9240509259,0.0,0.0,0.0
54,[47],2019-10-09 01:10:36,744928.0490277777,0.0,0.0,0.0
55,[48],2019-10-09 07:47:50,744928.3248842593,0.0,0.0,0.0
56,[49],2019-10-09 11:32:27,744928.4808680556,0.0,0.0,0.0
57,[50],2019-10-09 14:15:42,744928.5942361112,0.0,0.0,0.0
58,[51],2019-10-09 19:13:01,744928.8007060185,0.0,0.0,0.0
59,[52],2019-10-11 00:09:58,744932.0069212962,0.0,0.0,0.0
60,[53],2019-10-11 04:49:54,744932.2013194445,0.0,0.0,0.0
61,[54],2019-10-11 12:24:17,744932.516863426,0.0,0.0,0.0
62,[55],2019-10-11 19:08:20,744932.7974537037,0.0,0.0,0.0
63,[56],2019-10-11 23:05:27,744932.9621180556,0.0,0.0,0.0
64,[57],2019-10-12 02:30:37,744934.1045949074,0.0,0.0,0.0
65,[58],2019-10-12 10:31:29,744934.4385300926,0.0,0.0,0.0
66,[59],2019-10-12 13:13:32,744934.5510648148,0.0,0.0,0.0
67,[60],2019-10-12 19:49:39,744934.8261458334,0.0,0.0,0.0
68,[61],2019-10-13 05:08:47,744936.2144328704,7.760199999999999,2858.1971,59.605000000000004
69,[25],2019-10-03 13:31:35,744916.563599537,16.085099999999997,4968.1428,77.584
70,[28],2019-10-04 11:01:39,744918.4594791667,0.0,0.0,0.0
71,[29],2019-10-04 23:50:04,744918.9931018519,0.0,0.0,0.0
72,[30],2019-10-05 08:39:43,744920.3609143519,0.0,0.0,0.0
73,[31],2019-10-05 14:03:02,744920.5854398148,0.0,0.0,0.0
74,[32],2019-10-05 21:38:22,744920.9016435185,0.0,0.0,0.0
75,[33],2019-10-06 14:14:26,744922.5933564815,0.0,0.0,0.0
76,[34],2019-10-06 19:38:21,744922.8182986111,0.0,0.0,0.0
77,[35],2019-10-06 22:48:57,744922.9506597222,0.0,0.0,0.0
78,[36],2019-10-07 01:47:02,744924.0743287037,0.0,0.0,0.0
79,[37],2019-10-07 07:40:03,744924.3194791666,0.0,0.0,0.0
80,[38],2019-10-07 16:50:08,744924.7014814814,0.0,0.0,0.0
81,[39],2019-10-07 20:45:29,744924.8649189814,0.0,0.0,0.0
82,[40],2019-10-08 01:04:04,744926.0444907408,0.0,0.0,0.0
83,[42],2019-10-08 07:04:45,744926.2949652778,0.0,0.0,0.0
84,[43],2019-10-08 13:20:29,744926.5558912037,0.0,0.0,0.0
85,[44],2019-10-08 15:59:43,744926.6664699074,0.0,0.0,0.0
86,[45],2019-10-08 18:55:51,744926.7887847222,0.0,0.0,0.0
87,[46],2019-10-08 22:10:38,744926.9240509259,0.0,0.0,0.0
88,[47],2019-10-09 01:10:36,744928.0490277777,0.0,0.0,0.0
89,[48],2019-10-09 07:47:50,744928.3248842593,0.0,0.0,0.0
90,[49],2019-10-09 11:32:27,744928.4808680556,0.0,0.0,0.0
91,[50],2019-10-09 14:15:42,744928.5942361112,0.0,0.0,0.0
92,[51],2019-10-09 19:13:01,744928.8007060185,0.0,0.0,0.0
93,[52],2019-10-11 00:09:58,744932.0069212962,0.0,0.0,0.0
94,[53],2019-10-11 04:49:54,744932.2013194445,0.0,0.0,0.0
95,[54],2019-10-11 12:24:17,744932.516863426,0.0,0.0,0.0
96,[55],2019-10-11 19:08:20,744932.7974537037,0.0,0.0,0.0
97,[56],2019-10-11 23:05:27,744932.9621180556,0.0,0.0,0.0
98,[57],2019-10-12 02:30:37,744934.1045949074,0.0,0.0,0.0
99,[58],2019-10-12 10:31:29,744934.4385300926,0.0,0.0,0.0
100,[59],2019-10-12 13:13:32,744934.5510648148,0.0,0.0,0.0
101,[60],2019-10-12 19:49:39,744934.8261458334,0.0,0.0,0.0
102,[61],2019-10-13 05:08:47,744936.2144328704,7.760199999999999,2858.1971,59.605000000000004
