,Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_1,Area RAL95_trypsin_MED_1,#Peptides,#Unique,#Spec RAL95_trypsin_MED_1,PTM,Avg. Mass,Description,Coverage (%) RAL95_trypsin_MED_2,Area RAL95_trypsin_MED_2,#Spec RAL95_trypsin_MED_2
0,1,9880,PMM1436,409.57,94,94.0,50300000000.0,182,181,1295.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),57441,| groEL | chaperonin GroEL,,,
1,3,10366,PMM0452,339.33,68,68.0,7650000000.0,66,65,259.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),61441,| groEL | chaperonin GroEL,,,
2,5,12773,PMM0228,322.95,84,84.0,4360000000.0,51,51,164.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),28114,| psbO | photosystem II manganese-stabilizing protein,,,
3,14,9877,PMM1485,316.97,57,57.0,1120000000.0,55,54,105.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),122908,| rpoB | DNA-directed RNA polymerase subunit beta,,,
4,4,9777,PMM1704,314.23,63,63.0,3730000000.0,46,46,176.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),68244,| dnaK | molecular chaperone DnaK,,,
5,15,10439,PMM0710,306.42,67,67.0,2050000000.0,58,58,97.0,Oxidation (M),33887,| PMM0710 | ABC transporter  substrate binding protein  phosphate,,,
6,7,12780,PMM0901,302.94,71,71.0,2480000000.0,56,54,151.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),72552,| htpG | heat shock protein 90,,,
7,6,16009,PMM0642,300.99,91,91.0,5230000000.0,40,40,153.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),48059,| cysD | putative O-Acetyl homoserine sulfhydrylase,,,
8,13,10413,PMM1483,296.04,54,54.0,1020000000.0,54,54,106.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),149637,| rpoC2 | DNA-directed RNA polymerase subunit beta',,,
9,11,16035,PMM0315,288.57,41,41.0,2750000000.0,33,33,113.0,Oxidation (M); Deamidation (NQ),56091,| psbB | photosystem II PsbB protein (CP47),,,
10,9,16023,PMM0407,283.02,82,82.0,2220000000.0,29,29,138.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),34981,| cysK1 | O-acetylserine (thiol)-lyase A,,,
11,22,9717,PMM1088,279.2,64,64.0,580000000.0,45,43,79.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),93427,| clpC | ClpC,,,
12,8,10114,PMM1508,279.09,72,72.0,2780000000.0,42,42,130.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),43622,| tuf | elongation factor Tu,,,
13,27,10079,PMM1494,278.66,48,48.0,362000000.0,46,45,73.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),127148,| infB | translation initiation factor IF-2,,,
14,59,10485,PMM0226,267.26,50,50.0,279000000.0,24,20,48.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),66746,| ftsH2 | cell division protein FtsH2,,,
15,23,10147,PMM1191,266.16,49,49.0,932000000.0,36,34,78.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),78668,| pnp | polynucleotide phosphorylase/polyadenylase,,,
16,28,9922,PMM0661,263.92,54,54.0,467000000.0,36,36,71.0,Carbamidomethylation; Deamidation (NQ),90662,| nrdJ | ribonucleotide reductase (class II),,,
17,24,12807,PMM1264,263.86,48,48.0,874000000.0,37,33,76.0,Carbamidomethylation; Oxidation (M),67227,| ftsH3 | cell division protein FtsH3,,,
18,29,16061,PMM0583,261.21,57,57.0,626000000.0,24,24,63.0,Oxidation (M),38974,| hemE | uroporphyrinogen decarboxylase,,,
19,26,9970,PMM0970,260.88,55,55.0,1050000000.0,20,20,72.0,Carbamidomethylation; Oxidation (M),47600,| urtA | putative urea ABC transporter  substrate binding protein,,,
20,17,10505,PMM1309,256.04,74,74.0,2550000000.0,29,29,98.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39151,| ftsZ | cell division protein FtsZ,,,
21,88,10111,PMM0743,255.03,44,44.0,206000000.0,25,24,41.0,Carbamidomethylation; Oxidation (M),68885,| ftsH1 | FtsH ATP-dependent protease-like protein,,,
22,12,10638,PMM1350,250.8,70,70.0,3970000000.0,24,24,111.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),20921,| PMM1350 | pentapeptide repeat-containing protein,,,
23,83,9842,PMM1712,249.6,43,43.0,163000000.0,33,33,41.0,Carbamidomethylation,105952,| uvrA | excinuclease ABC subunit A,,,
24,21,16072,PMM0856,249.55,87,87.0,3870000000.0,20,20,85.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),21758,| tpx | thioredoxin peroxidase,,,
25,38,10695,PMM1247,248.86,62,62.0,869000000.0,22,22,61.0,Carbamidomethylation; Oxidation (M),46454,| PMM1247 | hypothetical protein,,,
26,52,10009,PMM1509,248.65,58,58.0,298000000.0,30,30,54.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),75690,| fusA | elongation factor G,,,
27,37,16012,PMM0769,246.86,66,66.0,546000000.0,32,32,59.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),48074,| glgC | glucose-1-phosphate adenylyltransferase,,,
28,31,16014,PMM0405,246.74,72,72.0,557000000.0,29,29,63.0,Carbamidomethylation; Oxidation (M),49186,| pdhC | branched-chain alpha-keto acid dehydrogenase subunit E2,,,
29,110,10275,PMM1062,246.25,68,68.0,302000000.0,24,24,38.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),41000,| guaB | inosine 5-monophosphate dehydrogenase,,,
30,16,13010,PMM0195,246.16,74,74.0,2160000000.0,30,30,99.0,Carbamidomethylation; Oxidation (M),42964,| pgk | phosphoglycerate kinase,,,
31,30,16013,PMM1315,245.65,77,77.0,878000000.0,23,23,71.0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),36630,| ilvC | ketol-acid reductoisomerase,,,
32,49,10593,PMM1438,244.26,64,64.0,466000000.0,24,24,51.0,Oxidation (M),51980,| atpB | F0F1 ATP synthase subunit beta,,,
33,39,13324,PMM0552,244.02,47,47.0,314000000.0,32,32,53.0,Carbamidomethylation; Oxidation (M),81882,| csoS2 | carboxysome shell protein CsoS2,,,
