Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg,matlab in_datenum,matlab in_chl,matlab in_bt,matlab in_o2
31,2017-01-08 01:08:51,742920.0478125,19.23378,2887.234,2419.092,0,0,0,0
32,2017-01-08 20:54:16,742920.871018518,5.50829,574.4924,587.999,0.823206017958,-13.72549,-2312.7416,-1831.093
33,2017-01-09 03:09:31,742922.131608796,15.26887,1724.2244,1483.079,2.08379629591946,-3.96491,-1163.0096,-936.013
34,2017-01-09 12:22:53,742922.515891204,16.68489,2109.5111,1885.1,2.46807870396879,-2.54889,-777.7229,-533.992
35,2017-01-10 08:32:45,742924.356076389,10.2249,1148.6627,1075.924,4.30826388893183,-9.00888,-1738.5713,-1343.168
36,2017-01-10 14:03:42,742924.585902778,12.55674,1533.2332,1291.03,4.53809027792886,-6.67704,-1354.0008,-1128.062
37,2017-01-10 23:11:26,742924.966273148,15.75815,1724.2817,1399.229,4.9184606479248,-3.47563,-1162.9523,-1019.863
38,2017-01-11 04:05:00,742926.170138889,13.90461,1531.0092,1277.442,6.12232638895512,-5.32917,-1356.2248,-1141.65
39,2017-01-11 14:03:16,742926.585601852,14.97964,1627.5958,1608.261,6.53778935200535,-4.25414,-1259.6382,-810.831
40,2017-01-12 05:05:22,742928.212060185,15.22097,1626.3774,1357.647,8.16424768499564,-4.01281,-1260.8566,-1061.445
41,2017-01-12 14:04:48,742928.586666667,13.86235,1529.432,1429.949,8.53885416698176,-5.37143,-1357.802,-989.143
42,2017-01-12 19:11:38,742928.79974537,21.29492,2103.0602,1874.288,8.75193287001457,2.06114,-784.1738,-544.804
43,2017-01-13 12:18:03,742930.512534722,13.07235,1335.4212,1297.534,10.4647222219501,-6.16143,-1551.8128,-1121.558
