Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg,matlab in_datenum,matlab in_chl,matlab in_bt,matlab in_o2,matlab in_datenum,matlab in_chl,matlab in_bt,matlab in_o2
59,2018-04-21 15:39:15,743856.652256944,43.569769,722.4414,218.657,0,0,0,0,,,,
60,2018-04-22 10:12:45,743858.425520833,49.582895,494.2234,152.554,1.77326388901565,6.013126,-228.218,-66.103,,,,
61,2018-04-22 14:04:25,743858.586400463,56.585747,648.3669,246.466,1.93414351902902,13.015978,-74.0745000000001,27.809,,,,
62,2018-04-22 22:00:31,743858.917025463,51.930882,662.4409,243.89,2.26476851897314,8.361113,-60.0005,25.233,,,,
63,2018-04-23 14:00:59,743860.584016204,51.863331,662.4267,214.067,3.93175926001277,8.293562,-60.0147000000001,-4.59,,,,
64,2018-04-24 14:03:01,743862.585428241,30.980209,631.2199,392.114,5.93317129695788,-12.58956,-91.2215,173.457,0,0,0,0
65,2018-04-24 21:04:47,743862.878321759,41.555736,675.771,222.701,6.22606481506955,-2.014033,-46.6704000000001,4.04399999999998,0.292893518111669,10.575527,44.5510999999999,-169.413
66,2018-04-25 15:02:53,743864.627002315,47.181988,680.5393,239.473,7.97474537102971,3.612219,-41.9021,20.816,2.04157407407183,16.201779,49.3194,-152.641
67,2018-04-26 00:07:04,743866.004907407,50.791788,516.5119,184.123,9.35265046299901,7.222019,-205.9295,-34.534,3.41947916604113,19.811579,-114.708,-207.991
68,2018-04-26 06:06:44,743866.254675926,41.690963,666.8784,232.449,9.60241898195818,-1.878806,-55.563,13.792,3.6692476850003,10.710754,35.6585,-159.665
69,2018-04-26 12:04:27,743866.503090278,44.024456,730.3894,230.957,9.85083333402872,0.454687,7.94799999999998,12.3,3.91766203707084,13.044247,99.1695,-161.157
70,2018-04-26 18:56:09,743866.788993056,46.447522,707.786,199.528,10.1367361120647,2.877753,-14.6554000000001,-19.129,4.2035648151068,15.467313,76.5660999999999,-192.586
71,2018-04-27 00:01:50,743868.001273148,57.458093,706.8836,207.394,11.3490162040107,13.888324,-15.5578,-11.263,5.41584490705282,26.477884,75.6637,-184.72
72,2018-04-27 09:44:07,743868.405636574,55.444939,716.5942,239.933,11.7533796300413,11.87517,-5.84720000000004,21.276,5.82020833308343,24.46473,85.3743,-152.181
