Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg,matlab in_datenum,matlab in_chl,matlab in_bt,matlab in_o2
42,2018-04-15 05:12:33,743844.217048611,31.11723,153.3106,3960.679,0,0,0,0
43,2018-04-15 15:06:02,743844.629189815,26.61947,166.3352,4494.538,0.412141203996725,-4.49776,13.0246,533.858999999999
44,2018-04-15 22:01:43,743844.917858796,37.41612,147.8594,4488.866,0.700810184935108,6.29889,-5.4512,528.187
45,2018-04-16 15:03:02,743846.627106482,26.32168,153.6094,3777.256,2.4100578710204,-4.79555,0.2988,-183.423
46,2018-04-17 15:03:16,743848.627268519,28.30809,166.7846,4828.253,4.41021990799345,-2.80914,13.474,867.574
47,2018-04-17 21:04:08,743848.87787037,32.00828,162.1821,4583.566,4.66082175902557,0.89105,8.8715,622.887
48,2018-04-18 15:03:03,743850.627118056,30.84138,212.5133,7608.629,6.4100694450317,-0.275849999999998,59.2027,3647.95
49,2018-04-18 22:05:25,743850.920428241,20.93792,135.4693,5038.272,6.70337962999474,-10.17931,-17.8413,1077.593
50,2018-04-19 02:15:57,743852.094409722,39.9007,179.5943,5739.928,7.87736111099366,8.78347,26.2837,1779.249
51,2018-04-19 06:07:15,743852.255034722,20.49633,112.4045,3447.476,8.03798611101229,-10.6209,-40.9061,-513.203
52,2018-04-19 12:06:26,743852.504467593,28.52765,175.923,5151.912,8.28741898201406,-2.58958,22.6124,1191.233
53,2018-04-19 14:16:53,743852.59505787,31.63424,171.2763,5386.102,8.37800925900228,0.517009999999999,17.9657,1425.423
54,2018-04-19 18:05:49,743852.754039352,27.3998,148.991,4356.097,8.53699074091855,-3.71743,-4.31959999999998,395.418
55,2018-04-19 23:59:38,743852.99974537,26.55016,171.4968,5747.721,8.782696758979,-4.56707,18.1862,1787.042
56,2018-04-20 06:06:48,743854.254722222,23.13221,190.1284,6119.093,10.0376736109611,-7.98502,36.8178,2158.414
57,2018-04-20 11:01:56,743854.459675926,18.20645,158.64,5694.885,10.2426273149904,-12.91078,5.32939999999999,1734.206
58,2018-04-20 22:34:17,743854.940474537,19.18239,167.3002,6284.02,10.7234259259421,-11.93484,13.9896,2323.341
