Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg,matlab in_datenum,matlab in_chl,matlab in_bt,matlab in_o2
60,2018-04-22 10:12:45,743858.425520833,13.591,43.1305,1916.164,0,0,0,0
61,2018-04-22 14:04:25,743858.586400463,34.9435,76.215,3480.805,0.160879630013369,21.3525,33.0845,1564.641
62,2018-04-22 22:00:31,743858.917025463,20.3819,41.7564,1928.755,0.49150462995749,6.7909,-1.3741,12.5910000000001
63,2018-04-23 14:00:59,743860.584016204,15.83736,47.4445,2159.679,2.15849537099712,2.24636,4.314,243.515
64,2018-04-24 14:03:01,743862.585428241,18.95489,100.6623,4508.09,4.15990740794223,5.36389,57.5318,2591.926
65,2018-04-24 21:04:47,743862.878321759,17.39061,83.02,3700.612,4.4528009260539,3.79961,39.8895,1784.448
66,2018-04-25 15:02:53,743864.627002315,12.39225,101.8192,4523.965,6.20148148201406,-1.19875,58.6887,2607.801
67,2018-04-26 00:07:04,743866.004907407,13.21918,83.3297,3771.701,7.57938657398336,-0.37182,40.1992,1855.537
68,2018-04-26 06:06:44,743866.254675926,19.40283,92.567,4126.806,7.82915509294253,5.81183,49.4365,2210.642
69,2018-04-26 12:04:27,743866.503090278,11.8176,79.5293,3513.049,8.07756944501307,-1.7734,36.3988,1596.885
70,2018-04-26 18:56:09,743866.788993056,15.19813,96.9189,4351.252,8.36347222304903,1.60713,53.7884,2435.088
71,2018-04-27 00:01:50,743868.001273148,12.89634,74.3073,3370.414,9.57575231499504,-0.694659999999999,31.1768,1454.25
72,2018-04-27 09:44:07,743868.405636574,12.06379,93.6515,4055.456,9.98011574102566,-1.52721,50.521,2139.292
