Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg,matlab in_datenum,matlab in_chl,matlab in_bt,matlab in_o2
25,2019-10-03 13:31:35,744916.563599537,4.4364,1279.5397,2828.725,0.00,0.00,0.00,0.00
28,2019-10-04 11:01:39,744918.459479167,4.1782,1375.1804,3074.425,1.90,-0.26,95.64,245.70
29,2019-10-04 23:50:04,744918.993101852,4.4235,1172.4138,2621.004,2.43,-0.01,-107.13,-207.72
30,2019-10-05 08:39:43,744920.360914352,4.9495,1570.6556,3497.106,3.80,0.51,291.12,668.38
31,2019-10-05 14:03:02,744920.585439815,6.0353,1867.5779,4127.896,4.02,1.60,588.04,1299.17
32,2019-10-05 21:38:22,744920.901643518,4.1007,1467.1161,3278.642,4.34,-0.34,187.58,449.92
33,2019-10-06 14:14:26,744922.593356482,3.4269,1277.9139,2817.387,6.03,-1.01,-1.63,-11.34
34,2019-10-06 19:38:21,744922.818298611,1.9979,879.61,1945.229,6.25,-2.44,-399.93,-883.50
35,2019-10-06 22:48:57,744922.950659722,3.8921,1366.4841,3034.705,6.39,-0.54,86.94,205.98
36,2019-10-07 01:47:02,744924.074328704,4.2272,1366.7175,3070.006,7.51,-0.21,87.18,241.28
37,2019-10-07 07:40:03,744924.319479167,2.0193,882.7344,1967.009,7.76,-2.42,-396.81,-861.72
38,2019-10-07 16:50:08,744924.701481481,2.7379,1078.2688,2426.622,8.14,-1.70,-201.27,-402.10
39,2019-10-07 20:45:29,744924.864918981,4.2168,1658.1952,3765.645,8.30,-0.22,378.66,936.92
40,2019-10-08 01:04:04,744926.044490741,3.2897,1070.1795,2445.58,9.48,-1.15,-209.36,-383.15
42,2019-10-08 07:04:45,744926.294965278,2.9873,1173.662,2634.897,9.73,-1.45,-105.88,-193.83
43,2019-10-08 13:20:29,744926.555891204,2.3507,980.4527,2180.082,9.99,-2.09,-299.09,-648.64
44,2019-10-08 15:59:43,744926.666469907,3.3724,1371.9504,3059.973,10.10,-1.06,92.41,231.25
45,2019-10-08 18:55:51,744926.788784722,1.8177,782.5113,1779.901,10.23,-2.62,-497.03,-1048.82
46,2019-10-08 22:10:38,744926.924050926,2.2252,880.2536,1985.226,10.36,-2.21,-399.29,-843.50
47,2019-10-09 01:10:36,744928.049027778,3.9096,1467.7521,3300.869,11.49,-0.53,188.21,472.14
48,2019-10-09 07:47:50,744928.324884259,3.6037,1372.725,3096.059,11.76,-0.83,93.19,267.33
49,2019-10-09 11:32:27,744928.480868056,2.8391,1177.8185,2636.424,11.92,-1.60,-101.72,-192.30
50,2019-10-09 14:15:42,744928.594236111,3.9346,1472.2893,3322.799,12.03,-0.50,192.75,494.07
51,2019-10-09 19:13:01,744928.800706018,3.218,1174.5655,2650.506,12.24,-1.22,-104.97,-178.22
52,2019-10-11 00:09:58,744932.006921296,6.6882,1662.2503,3809.292,15.44,2.25,382.71,980.57
53,2019-10-11 04:49:54,744932.201319444,4.0359,1173.468,2677.337,15.64,-0.40,-106.07,-151.39
54,2019-10-11 12:24:17,744932.516863426,3.3331,1077.6744,2451.654,15.95,-1.10,-201.87,-377.07
55,2019-10-11 19:08:20,744932.797453704,3.3379,1366.167,3102.114,16.23,-1.10,86.63,273.39
56,2019-10-11 23:05:27,744932.962118056,3.0772,1071.2458,2441.642,16.40,-1.36,-208.29,-387.08
57,2019-10-12 02:30:37,744934.104594907,3.3351,1170.3635,2641.619,17.54,-1.10,-109.18,-187.11
58,2019-10-12 10:31:29,744934.438530093,5.4441,2148.1082,4875.87,17.87,1.01,868.57,2047.15
59,2019-10-12 13:13:32,744934.551064815,5.5899,2053.5796,4622.224,17.99,1.15,774.04,1793.50
60,2019-10-12 19:49:39,744934.826145833,3.2787,1461.8123,3319.914,18.26,-1.16,182.27,491.19
61,2019-10-13 05:08:47,744936.21443287,2.8427,1268.3547,2881.893,19.65,-1.59,-11.18,53.17
