Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg,matlab in_datenum,matlab in_chl,matlab in_bt,matlab in_o2
31,2017-01-08 01:08:51,742920.0478125,44.329554,20011.1686,238.792,0,0,0,0
32,2017-01-08 20:54:16,742920.871018518,37.069277,17706.0842,243.925,0.823206017958,-7.260277,-2305.0844,5.13300000000001
33,2017-01-09 03:09:31,742922.131608796,38.484382,12966.0535,191.678,2.08379629591946,-5.84517200000001,-7045.1151,-47.114
34,2017-01-09 12:22:53,742922.515891204,42.046411,18467.2366,334.335,2.46807870396879,-2.283143,-1543.932,95.543
35,2017-01-10 08:32:45,742924.356076389,38.158725,18071.3604,267.697,4.30826388893183,-6.17082900000001,-1939.8082,28.905
36,2017-01-10 14:03:42,742924.585902778,40.53264,17418.0628,259.713,4.53809027792886,-3.796914,-2593.1058,20.921
37,2017-01-10 23:11:26,742924.966273148,35.213208,16337.7607,207.64,4.9184606479248,-9.116346,-3673.4079,-31.152
38,2017-01-11 04:05:00,742926.170138889,43.63477,17823.6736,274.493,6.12232638895512,-0.694783999999999,-2187.495,35.701
39,2017-01-11 14:03:16,742926.585601852,34.918006,17924.3875,207.077,6.53778935200535,-9.411548,-2086.7811,-31.715
40,2017-01-12 05:05:22,742928.212060185,43.297948,19757.7249,161.785,8.16424768499564,-1.031606,-253.4437,-77.007
41,2017-01-12 14:04:48,742928.586666667,41.498963,16628.9682,209.163,8.53885416698176,-2.830591,-3382.2004,-29.629
42,2017-01-12 19:11:38,742928.79974537,40.200501,18565.6829,295.217,8.75193287001457,-4.129053,-1445.4857,56.425
43,2017-01-13 12:18:03,742930.512534722,38.980594,17695.7858,170.112,10.4647222219501,-5.34896,-2315.3828,-68.68
