Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 367,Area 367,#Peptides,#Unique,#Spec 367,PTM,Avg. Mass,Description
1,2,54036848,176.22,9,9,2.33E8,14,10,36,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
3,1,|#CONTAM#TRYP_PIG|,160.52,56,56,4.51E8,16,16,23,Carbamidomethylation,24409,sp|#CONTAM#TRYP_PIG|
10,108,ETNP14_68,122.31,48,48,3.19E5,12,1,12,Carbamidomethylation,15623,Photosystem I reaction center subunit II
4,5,XP_003062500,118.65,25,25,3.76E6,20,9,21,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
4,6,XP_003058621,118.65,25,25,3.76E6,20,9,21,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
11,145,ETNP_90,115.69,46,46,1.38E5,11,1,11,Carbamidomethylation,15726,Photosystem I reaction center subunit II
7,404,NP_100,110.48,50,50,6.07E6,12,12,14,,7685,Photosystem I reaction center subunit IV
7,405,ETNP_140,110.48,50,50,6.07E6,12,12,14,,7685,Photosystem I reaction center subunit IV
7,403,ETNP_110,110.48,50,50,6.07E6,12,12,14,,7685,Photosystem I reaction center subunit IV
7,406,ETNP_120,110.48,50,50,6.07E6,12,12,14,,7685,Photosystem I reaction center subunit IV
7,408,ETNP_100,110.48,50,50,6.07E6,12,12,14,,7671,Photosystem I reaction center subunit IV
7,408,ETNP_100,110.48,50,50,6.07E6,12,12,14,,7671,Photosystem I reaction center subunit IV
5,20,ETNP_140,106.15,65,65,3.26E6,18,3,18,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,21,ETNP_110,106.15,65,65,3.26E6,18,3,18,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,24,ETNP14_68,106.15,65,65,3.26E6,18,3,18,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,22,ETNP_100,106.15,65,65,3.26E6,18,3,18,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,23,NP_85,106.15,65,65,3.26E6,18,3,18,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,25,ETNP_90,106.15,65,65,3.26E6,18,3,18,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
6,28,ETNP_140,103.12,65,65,4.48E5,17,2,17,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
6,27,ETNP_110,103.12,65,65,4.48E5,17,2,17,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
6,26,ETNP_90,103.12,65,65,4.48E5,17,2,17,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
6,29,ETNP_100,103.12,65,65,4.48E5,17,2,17,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
33,30,ETNP_90,97.44,15,15,2.6E6,5,3,5,,29123,Photosystem II manganese-stabilizing polypeptide precursor
33,8,ETNP_100,97.44,15,15,2.6E6,5,3,5,,29257,Photosystem II manganese-stabilizing polypeptide precursor
33,7,ETNP_90,97.44,15,15,2.6E6,5,3,5,,29344,Photosystem II manganese-stabilizing polypeptide precursor
2,33,ETNP_120,96.76,54,54,,15,0,15,Carbamidomethylation; Oxidation (M),12950,hypothetical protein
2,32,WP_011129843,96.76,54,54,,15,0,15,Carbamidomethylation; Oxidation (M),12922,hypothetical protein Prochlorococcus
13,76,WP_011282064,94.32,22,22,,10,0,11,Carbamidomethylation,37685,amino acid ABC transporter substrate-binding protein Candidatus Pelagibacter ubique
15,97,ETNP14_68,91.44,23,23,,9,0,10,Carbamidomethylation,37294,General L-amino acid-binding periplasmic protein AapJ precursor
16,80,NP_85,91.36,20,20,1.33E5,9,1,10,Carbamidomethylation,36415,General L-amino acid-binding periplasmic protein AapJ precursor
30,46,ETNP_140,91.22,19,19,4.78E5,6,2,6,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
30,47,NP_300,91.22,19,19,4.78E5,6,2,6,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
30,44,ETNP_300,91.22,19,19,4.78E5,6,2,6,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
30,48,ETNP_180,91.22,19,19,4.78E5,6,2,6,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
30,43,ETNP_160,91.22,19,19,4.78E5,6,2,6,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
30,45,ETNP_120,91.22,19,19,4.78E5,6,2,6,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
48,129,NP_300,90.37,14,14,1.73E6,4,4,4,Carbamidomethylation,39385,Bacterial extracellular solute-binding protein
48,130,ETNP_120,90.37,14,14,1.73E6,4,4,4,Carbamidomethylation,39375,Bacterial extracellular solute-binding protein
48,128,ETNP_120,90.37,14,14,1.73E6,4,4,4,Carbamidomethylation,39385,Bacterial extracellular solute-binding protein
48,131,ETNP_140,90.37,14,14,1.73E6,4,4,4,Carbamidomethylation,39385,Bacterial extracellular solute-binding protein
12,160,ETNP_90,88.46,33,33,5.85E5,11,5,11,,11111,Photosystem II 12 kDa extrinsic protein
12,163,ETNP_100,88.46,28,28,5.85E5,11,5,11,,13052,Photosystem II 12 kDa extrinsic protein precursor
12,164,ETNP_120,88.46,28,28,5.85E5,11,5,11,,13052,Photosystem II 12 kDa extrinsic protein precursor
12,165,ETNP_140,88.46,28,28,5.85E5,11,5,11,,13052,Photosystem II 12 kDa extrinsic protein precursor
17,98,ETNP14_68,87.20,19,19,1.4E4,8,1,9,Carbamidomethylation,37467,General L-amino acid-binding periplasmic protein AapJ precursor
20,983,ACL71908.1,83.36,3,3,7.46E4,5,1,8,,95840,ATP-dependent chaperone ClpB [Thioalkalivibrio sulfidiphilus HL-EbGr7]
20,843,WP_014707596,83.36,3,3,7.46E4,5,1,8,,95984,chaperone protein ClpB Methylophaga nitratireducenticrescens
20,940,BAI70784.1,83.36,3,3,7.46E4,5,1,8,,95100,ATP-dependent Clp protease ATP-binding subunit [Azospirillum sp. B510]
20,998,WP_001210050,83.36,3,3,7.46E4,5,1,8,,95142,chaperone protein ClpB Acinetobacter baumannii
20,999,ADI91587.1,83.36,3,3,7.46E4,5,1,8,,95233,ATP-dependent chaperone ClpB [Acinetobacter oleivorans DR1]
20,948,WP_011376136.1,83.36,3,3,7.46E4,5,1,8,,97126,chaperone protein ClpB [Prochlorococcus marinus]
20,957,WP_011132214.1,83.36,3,3,7.46E4,5,1,8,,97364,chaperone protein ClpB [Prochlorococcus marinus]
20,1049,CBE68133,83.36,3,3,7.46E4,5,1,8,,97122,Chaperone Candidatus Methylomirabilis oxyfera
20,926,ETNP_120,83.36,3,3,7.46E4,5,1,8,,96281,Chaperone protein ClpB
20,924,NP_300,83.36,3,3,7.46E4,5,1,8,,96223,Chaperone protein ClpB
20,936,ACJ00008.1,83.36,3,3,7.46E4,5,1,8,,96573,ATP-dependent chaperone protein ClpB [Rhodospirillum centenum SW]
20,1067,WP_009773391.1,83.36,3,3,7.46E4,5,1,8,,79198,protein disaggregation chaperone [marine actinobacterium PHSC20C1]
20,1068,WP_013260433,83.36,3,3,7.46E4,5,1,8,,96155,chaperone protein ClpB gamma proteobacterium HdN1
18,105,ETNP14_120,83.12,17,17,,7,0,8,Carbamidomethylation,37337,General L-amino acid-binding periplasmic protein AapJ precursor
19,111,ETNP14_120,81.77,15,15,,7,0,8,Carbamidomethylation,37413,General L-amino acid-binding periplasmic protein AapJ precursor
14,253,ETNP_120,81.28,32,32,1.75E6,10,4,10,,13019,Photosystem II 12 kDa extrinsic protein precursor
14,252,ETNP_100,81.28,32,32,1.75E6,10,4,10,,13019,Photosystem II 12 kDa extrinsic protein precursor
14,254,ETNP_90,81.28,32,32,1.75E6,10,4,10,,13019,Photosystem II 12 kDa extrinsic protein precursor
14,252,ETNP_100,81.28,32,32,1.75E6,10,4,10,,13019,Photosystem II 12 kDa extrinsic protein precursor
25,35,XP_002179286,80.06,28,28,8.8E4,7,1,7,,11383,histone H4 isoform 1b  Phaeodactylum tricornutum CCAP 1055
