,107.66799999999999
StartTime,2018-04-15 05:12:33
timeS,353.13800000000003
scan,8476.0
longitude,-106.97898
latitude,16.984379999999998
depSMignore,107.0
t090C,14.1258
t190C,14.1254
c0S/m,4.186414
c1S/m,4.1863150000000005
flSP,0.7901100000000001
CStarAt0,12.3735
CStarTr0,4.5348
par,0.0501
modError,0.0
v0,4.5348
v1,0.2634
v2,0.5127
v3,0.0
v4,4.5633
v5,0.0
v6,0.0
v7,0.0
sbeox0V,0.5118
sal00,34.7729
sal11,34.7725
sigma-�00,25.9884
sigma-�11,25.9881
sbeox0Mg/L,0.0491
sbox0Mm/Kg,1.494
sbeox0PS,0.5920000000000001
flag,False
Time,2018-04-15 05:18:26.138000
