,46.28
StartTime,2018-04-17 15:03:16
timeS,172.82299999999998
scan,4149.0
longitude,-107.06272
latitude,16.97818
depSMignore,46.0
t090C,22.1115
t190C,22.0664
c0S/m,4.917841
c1S/m,4.912864
flSP,1.114
CStarAt0,12.4326
CStarTr0,4.4684
par,23.391
modError,0.0
v0,4.4684
v1,0.3713
v2,2.3279
v3,0.0
v4,4.5567
v5,0.0
v6,2.6654
v7,0.0
sbeox0V,2.3278
sal00,34.2803
sal11,34.277
sigma-�00,23.6424
sigma-�11,23.6525
sbeox0Mg/L,5.7391
sbox0Mm/Kg,175.208
sbeox0PS,80.27600000000001
flag,False
Time,2018-04-17 15:06:08.823000
