,58.355
StartTime,2018-04-20 06:06:48
timeS,310.253
scan,7447.0
longitude,-106.97883999999999
latitude,16.98432
depSMignore,58.0
t090C,19.7832
t190C,19.7228
c0S/m,4.679419
c1S/m,4.672391
flSP,0.9256200000000001
CStarAt0,12.3957
CStarTr0,4.5098
par,0.050671
modError,0.0
v0,4.5098
v1,0.3085
v2,2.3361
v3,0.0
v4,4.5357
v5,0.0
v6,0.0049
v7,0.0
sbeox0V,2.336
sal00,34.2364
sal11,34.2281
sigma-�00,24.2386
sigma-�11,24.248
sbeox0Mg/L,5.9135
sbox0Mm/Kg,180.426
sbeox0PS,79.285
flag,False
Time,2018-04-20 06:11:58.253000
