,103.641
StartTime,2018-04-15 22:01:43
timeS,455.338
scan,10929.0
longitude,-107.01528
latitude,16.92706
depSMignore,103.0
t090C,14.3237
t190C,14.3197
c0S/m,4.203995
c1S/m,4.203469
flSP,0.65176
CStarAt0,12.3684
CStarTr0,4.5407
par,0.33127
modError,0.0
v0,4.5407
v1,0.2173
v2,0.5123
v3,0.0
v4,4.5474
v5,0.0
v6,0.8174
v7,0.0
sbeox0V,0.5115
sal00,34.7592
sal11,34.758
sigma-�00,25.9357
sigma-�11,25.9356
sbeox0Mg/L,0.0461
sbox0Mm/Kg,1.4040000000000001
sbeox0PS,0.5579999999999999
flag,False
Time,2018-04-15 22:09:18.338000
