,37.224000000000004
StartTime,2018-04-16 15:03:02
timeS,180.97799999999998
scan,4344.0
longitude,-107.03418
latitude,16.94377
depSMignore,37.0
t090C,23.3999
t190C,23.3951
c0S/m,5.049821
c1S/m,5.049274
flSP,0.35939
CStarAt0,12.3984
CStarTr0,4.5067
par,28.01
modError,0.0
v0,4.5067
v1,0.1198
v2,2.5523
v3,0.0
v4,4.5428
v5,0.0
v6,2.744
v7,0.0
sbeox0V,2.5522
sal00,34.2938
sal11,34.2932
sigma-�00,23.2848
sigma-�11,23.2857
sbeox0Mg/L,6.261
sbox0Mm/Kg,191.208
sbeox0PS,89.59100000000001
flag,False
Time,2018-04-16 15:06:02.978000
