,111.694
StartTime,2018-04-15 05:12:33
timeS,431.915
scan,10367.0
longitude,-107.05556000000001
latitude,16.9769
depSMignore,111.0
t090C,14.2876
t190C,14.2775
c0S/m,4.20075
c1S/m,4.200263
flSP,0.67998
CStarAt0,12.3682
CStarTr0,4.5409
par,0.34956
modError,0.0
v0,4.5409
v1,0.2267
v2,0.5118
v3,0.0
v4,4.5905
v5,0.0
v6,0.8407
v7,0.0
sbeox0V,0.5109
sal00,34.7584
sal11,34.763
sigma-�00,25.943
sigma-�11,25.9487
sbeox0Mg/L,0.0445
sbox0Mm/Kg,1.3559999999999999
sbeox0PS,0.539
flag,False
Time,2018-04-15 05:19:44.915000
