,101.62899999999999
StartTime,2018-04-15 05:12:33
timeS,311.367
scan,7474.0
longitude,-107.03418
latitude,16.9438
depSMignore,101.0
t090C,14.1901
t190C,14.1779
c0S/m,4.192216999999999
c1S/m,4.190930000000001
flSP,0.66884
CStarAt0,12.3673
CStarTr0,4.5419
par,0.22985999999999998
modError,0.0
v0,4.5419
v1,0.223
v2,0.5105
v3,0.0
v4,4.1806
v5,0.0
v6,0.6585
v7,0.0
sbeox0V,0.5097
sal00,34.7713
sal11,34.7704
sigma-�00,25.9734
sigma-�11,25.9752
sbeox0Mg/L,0.041
sbox0Mm/Kg,1.25
sbeox0PS,0.495
flag,False
Time,2018-04-15 05:17:44.367000
