Pressure [dbar],StartTime,timeS,Time,scan,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS,flag
10.06,2018-04-15 05:12:33,28.406,2018-04-15 05:13:01.406,683.0,-107.00062,16.900479999999998,10.0,26.6322,26.6326,5.402263,5.402444,0.11750999999999999,12.3676,4.5415,0.050671,0.0,4.5415,0.0392,2.7527,0.0,4.4423,0.0,0.0049,0.0,2.7527,34.4507,34.4517,22.4215,22.4222,6.5181,199.225,98.63799999999999,False
11.065999999999999,2018-04-15 05:12:33,99.969,2018-04-15 05:14:12.969,2400.0,-107.00062,16.900479999999998,11.0,26.6327,26.6328,5.402342,5.402516,0.1222,12.3675,4.5417,0.050671,0.0,4.5417,0.0407,2.7537,0.0,4.4658,0.0,0.0049,0.0,2.7537,34.4507,34.4518,22.4214,22.4222,6.5252,199.44400000000002,98.74700000000001,False
12.072000000000001,2018-04-15 05:12:33,104.055,2018-04-15 05:14:17.055,2498.0,-107.00062,16.900479999999998,12.0,26.6372,26.6373,5.40342,5.403521,0.11697,12.3671,4.5421,0.050671,0.0,4.5421,0.039,2.7534,0.0,4.4675,0.0,0.0049,0.0,2.7534,34.4547,34.4554,22.423,22.4236,6.5181,199.227,98.649,False
13.078,2018-04-15 05:12:33,107.87,2018-04-15 05:14:20.870,2590.0,-107.00062,16.900479999999998,13.0,26.6368,26.6372,5.403477,5.40367,0.12119,12.3806,4.5269,0.050671,0.0,4.5269,0.0404,2.7519,0.0,4.4689,0.0,0.0049,0.0,2.7519,34.4551,34.4562,22.4236,22.4242,6.521,199.31400000000002,98.691,False
14.084000000000001,2018-04-15 05:12:33,109.071,2018-04-15 05:14:22.071,2619.0,-107.00062,16.900479999999998,14.0,26.6375,26.6378,5.403666,5.403869,0.11748,12.3677,4.5415,0.050671,0.0,4.5415,0.0392,2.7546,0.0,4.4687,0.0,0.0049,0.0,2.7546,34.4556,34.4569,22.4238,22.4247,6.5238,199.4,98.736,False
15.09,2018-04-15 05:12:33,110.193,2018-04-15 05:14:23.193,2646.0,-107.00062,16.900479999999998,15.0,26.6391,26.6392,5.404017,5.404158,0.11635,12.3675,4.5417,0.050671,0.0,4.5417,0.0388,2.7525,0.0,4.4689,0.0,0.0049,0.0,2.7525,34.4566,34.4576,22.4242,22.4248,6.5145,199.11700000000002,98.59899999999999,False
16.096,2018-04-15 05:12:33,111.56200000000001,2018-04-15 05:14:24.562,2678.0,-107.00062,16.900479999999998,16.0,26.6385,26.6391,5.404038,5.404223,0.12104000000000001,12.3667,4.5426,0.050671,0.0,4.5426,0.0404,2.7501,0.0,4.4693,0.0,0.0049,0.0,2.7501,34.457,34.4579,22.4247,22.4252,6.5072,198.894,98.488,False
17.102,2018-04-15 05:12:33,113.959,2018-04-15 05:14:26.959,2736.0,-107.00062,16.900479999999998,17.0,26.6422,26.643,5.404907,5.405167,0.12703,12.3685,4.5405,0.050671,0.0,4.5405,0.0423,2.7504,0.0,4.4705,0.0,0.0049,0.0,2.7504,34.4601,34.4614,22.426,22.4267,6.5165,199.17700000000002,98.63600000000001,False
18.109,2018-04-15 05:12:33,117.93700000000001,2018-04-15 05:14:30.937,2831.0,-107.00062,16.900479999999998,18.0,26.6434,26.6437,5.405301000000001,5.405436,0.12195,12.3681,4.5409,0.050671,0.0,4.5409,0.0407,2.7501,0.0,4.4715,0.0,0.0049,0.0,2.7501,34.4618,34.4625,22.4269,22.4274,6.513,199.071,98.586,False
19.114,2018-04-15 05:12:33,119.552,2018-04-15 05:14:32.552,2870.0,-107.00062,16.900479999999998,19.0,26.6473,26.6475,5.406868,5.4069400000000005,0.1208,12.3689,4.5401,0.050671,0.0,4.5401,0.0403,2.751,0.0,4.4717,0.0,0.0049,0.0,2.751,34.4698,34.4701,22.4317,22.4319,6.5205,199.296,98.709,False
