,124.779
StartTime,2018-04-20 22:34:17
timeS,329.20300000000003
scan,7902.0
longitude,-107.01744
latitude,17.04942
depSMignore,124.0
t090C,13.9526
t190C,13.9521
c0S/m,4.1698949999999995
c1S/m,4.169878
flSP,0.51885
CStarAt0,12.3673
CStarTr0,4.5419
par,0.17722000000000002
modError,0.0
v0,4.5419
v1,0.173
v2,0.5119
v3,0.0
v4,4.5653
v5,0.0
v6,0.5461
v7,0.0
sbeox0V,0.511
sal00,34.7687
sal11,34.769
sigma-�00,26.022
sigma-�11,26.0223
sbeox0Mg/L,0.0452
sbox0Mm/Kg,1.376
sbeox0PS,0.5429999999999999
flag,False
Time,2018-04-20 22:39:46.203000
