,35.211999999999996
StartTime,2018-04-15 05:12:33
timeS,150.7
scan,3618.0
longitude,-107.00062
latitude,16.900479999999998
depSMignore,35.0
t090C,23.5097
t190C,23.5071
c0S/m,5.061912
c1S/m,5.061679
flSP,0.3999
CStarAt0,12.4047
CStarTr0,4.4997
par,0.050671
modError,0.0
v0,4.4997
v1,0.1333
v2,2.5959
v3,0.0
v4,4.4908
v5,0.0
v6,0.0049
v7,0.0
sbeox0V,2.5959
sal00,34.3013
sal11,34.3016
sigma-�00,23.2584
sigma-�11,23.2594
sbeox0Mg/L,6.3533
sbox0Mm/Kg,194.03
sbeox0PS,91.089
flag,False
Time,2018-04-15 05:15:03.700000
