,109.681
StartTime,2018-04-18 22:05:25
timeS,426.74199999999996
scan,10243.0
longitude,-107.05446
latitude,16.9959
depSMignore,109.0
t090C,14.117
t190C,14.1169
c0S/m,4.184672
c1S/m,4.184641
flSP,0.6139
CStarAt0,12.3681
CStarTr0,4.5411
par,0.50459
modError,0.0
v0,4.5411
v1,0.2046
v2,0.514
v3,0.0
v4,4.6142
v5,0.0
v6,0.9998
v7,0.0
sbeox0V,0.5131
sal00,34.7639
sal11,34.7637
sigma-�00,25.9833
sigma-�11,25.9832
sbeox0Mg/L,0.0534
sbox0Mm/Kg,1.6269999999999998
sbeox0PS,0.644
flag,False
Time,2018-04-18 22:12:31.742000
