Cast,StartTime,timeS,scan,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS,Time
42,2018-04-15 05:12:33,189.479,4549,-107.00064,16.90048,54,19.7534,19.7368,4.691735,4.690174,1.6953,12.3952,4.5104,0.050671,1.4782,34.3634,34.3642,24.3433,24.3482,3.1076,94.807,41.676,2018-04-15 05:15:42.479000
43,2018-04-15 15:06:02,268.09,6435,-107.01706,16.91626,50,21.691,21.6892,4.873075,4.872572,1.0375,12.4334,4.4675,24.299,2.2141,34.2604,34.2579,23.7445,23.7431,5.3448,163.154,74.194,2018-04-15 15:10:30.090000
44,2018-04-15 22:01:43,337.09,8091,-107.01527,16.92707,50,21.6301,21.6392,4.86797,4.868703,1.5507,12.4621,4.4356,25.385,2.237,34.2686,34.2671,23.7675,23.7639,5.4468,166.263,75.531,2018-04-15 22:07:20.090000
45,2018-04-16 15:03:02,200.915,4823,-107.0342,16.94374,46,21.8995,21.837,4.8958,4.888871,1.2618,12.4286,4.4728,13.421,2.3134,34.2751,34.2701,23.6974,23.711,5.6759,173.269,79.09,2018-04-16 15:06:22.915000
46,2018-04-17 15:03:16,172.823,4149,-107.06272,16.97818,46,22.1115,22.0664,4.917841,4.912864,1.114,12.4326,4.4684,23.391,2.3278,34.2803,34.277,23.6424,23.6525,5.7391,175.208,80.276,2018-04-17 15:06:08.823000
47,2018-04-17 21:04:08,289.044,6938,-107.05556,16.9769,49,21.8684,21.864,4.891763,4.891169,1.4235,12.4481,4.4511,31.157,2.34,34.2672,34.266,23.7004,23.7007,5.8214,177.709,81.069,2018-04-17 21:08:57.044000
48,2018-04-18 15:03:03,269.048,6458,-107.07448,16.98672,62,19.2907,19.2819,4.627291,4.626285,1.0593,12.4021,4.5026,9.1423,2.1859,34.2087,34.2077,24.3451,24.3466,5.5292,168.682,73.449,2018-04-18 15:07:32.048000
49,2018-04-18 22:05:25,333.055,7994,-107.05446,16.99594,60,19.4381,19.4331,4.642561,4.641729,1.3422,12.4195,4.483,22.799,2.2038,34.2148,34.212,24.3118,24.311,5.6128,171.24,74.766,2018-04-18 22:10:58.055000
50,2018-04-19 02:15:57,293.741,7051,-106.98056,17.01269,48,21.5311,21.5143,4.860463,4.858617,1.6369,12.4563,4.442,0.050669,2.4033,34.2887,34.2875,23.81,23.8137,5.9989,183.11,83.05,2018-04-19 02:20:50.741000
51,2018-04-19 06:07:15,245.956,5904,-106.97996,17.02054,50,21.8476,21.8525,4.893297,4.893776,1.4344,12.4587,4.4394,0.050671,2.456,34.2954,34.2953,23.7277,23.7263,6.2937,192.123,87.628,2018-04-19 06:11:20.956000
52,2018-04-19 12:06:26,130.777,3140,-106.98006,17.02059,53,21.4816,21.4772,4.855138,4.854624,1.1904,12.4318,4.4693,0.050738,2.3636,34.2842,34.2836,23.8203,23.8211,5.8518,178.617,80.942,2018-04-19 12:08:36.777000
53,2018-04-19 14:16:53,170.456,4092,-106.98008,17.02058,49,21.4139,21.412,4.847731,4.847431,1.2623,12.4328,4.4681,7.1054,2.391,34.2809,34.2801,23.8362,23.8362,5.8598,178.858,80.952,2018-04-19 14:19:43.456000
54,2018-04-19 18:05:49,140.656,3377,-106.98013,17.02057,51,21.9675,21.9736,4.9031,4.903839,1.2367,12.4302,4.4711,75.808,2.4149,34.277,34.278,23.6804,23.6794,6.024,183.896,84.043,2018-04-19 18:08:09.656000
55,2018-04-19 23:59:38,316.756,7603,-106.9668,16.97755,60,19.9846,19.9976,4.698489,4.699735,1.1027,12.4259,4.4759,4.8359,2.3608,34.2277,34.2273,24.1796,24.1759,6.0178,183.618,80.978,2018-04-20 00:04:54.756000
56,2018-04-20 06:06:48,310.253,7447,-106.97884,16.98432,58,19.7832,19.7228,4.679419,4.672391,0.92562,12.3957,4.5098,0.050671,2.336,34.2364,34.2281,24.2386,24.248,5.9135,180.426,79.285,2018-04-20 06:11:58.253000
57,2018-04-20 11:01:56,252.59,6063,-106.97897,16.98436,58,19.9713,19.9568,4.70056,4.698262,0.87543,12.3886,4.5178,0.0501,2.3921,34.2562,34.2493,24.2048,24.2033,6.0615,184.949,81.562,2018-04-20 11:06:08.590000
58,2018-04-20 22:34:17,202.007,4849,-107.01744,17.04942,64,20.4815,20.3443,4.755738,4.741498,0.94802,12.3969,4.5084,15.181,2.4969,34.2882,34.284,24.0945,24.1278,6.4779,197.674,87.997,2018-04-20 22:37:39.007000
