,41.248999999999995
StartTime,2018-04-20 22:34:17
timeS,148.997
scan,3577.0
longitude,-107.01742
latitude,17.04944
depSMignore,41.0
t090C,23.8458
t190C,23.8445
c0S/m,5.118385
c1S/m,5.118675
flSP,0.21998
CStarAt0,12.3868
CStarTr0,4.5198
par,61.157
modError,0.0
v0,4.5198
v1,0.0733
v2,2.7697
v3,0.0
v4,4.4954
v5,0.0
v6,3.0831
v7,0.0
sbeox0V,2.7697
sal00,34.4674
sal11,34.4706
sigma-�00,23.2862
sigma-�11,23.289
sbeox0Mg/L,6.8968
sbox0Mm/Kg,210.62400000000002
sbeox0PS,99.556
flag,False
Time,2018-04-20 22:36:45.997000
