,39.236999999999995
StartTime,2018-04-15 15:06:02
timeS,246.625
scan,5920.0
longitude,-107.01704
latitude,16.91626
depSMignore,39.0
t090C,23.8689
t190C,23.8595
c0S/m,5.113345
c1S/m,5.112133999999999
flSP,0.32443
CStarAt0,12.388
CStarTr0,4.5184
par,65.83
modError,0.0
v0,4.5184
v1,0.1081
v2,2.6921
v3,0.0
v4,4.5433
v5,0.0
v6,3.115
v7,0.0
sbeox0V,2.6921
sal00,34.412
sal11,34.4101
sigma-�00,23.2373
sigma-�11,23.2386
sbeox0Mg/L,6.6025
sbox0Mm/Kg,201.644
sbeox0PS,95.316
flag,False
Time,2018-04-15 15:10:08.625000
