,105.655
StartTime,2018-04-17 15:03:16
timeS,309.43
scan,7427.0
longitude,-107.06273999999999
latitude,16.978170000000002
depSMignore,105.0
t090C,14.1867
t190C,14.1864
c0S/m,4.191544
c1S/m,4.191401
flSP,0.66976
CStarAt0,12.368
CStarTr0,4.5411
par,0.17983
modError,0.0
v0,4.5411
v1,0.2232
v2,0.5104
v3,0.0
v4,4.5167
v5,0.0
v6,0.5525
v7,0.0
sbeox0V,0.5096
sal00,34.7665
sal11,34.7654
sigma-�00,25.9705
sigma-�11,25.9697
sbeox0Mg/L,0.0412
sbox0Mm/Kg,1.254
sbeox0PS,0.49700000000000005
flag,False
Time,2018-04-17 15:08:25.430000
