Pressure [dbar],StartTime,timeS,scan,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS,flag,Time,TimeSec
120.752,2018-04-15 05:12:33,322.588,7743.0,-107.00062,16.900479999999998,120.0,13.9928,14.0015,4.174773,4.175607,0.55798,12.3607,4.5495,0.050671,0.0,4.5495,0.18600000000000003,0.5079,0.0,4.5895,0.0,0.0049,0.0,0.5072,34.7795,34.7793,26.0218,26.0199,0.0335,1.02,0.403,False,2018-04-15 05:17:55.588,1.523769475588e+18
120.752,2018-04-15 15:06:02,410.378,9850.0,-107.01708,16.91628,120.0,13.8344,13.8335,4.159936,4.1598120000000005,0.36916,12.3549,4.556,0.065664,0.0,4.556,0.12300000000000001,0.5097,0.0,4.489,0.0,0.1166,0.0,0.5089,34.7845,34.7841,26.0588,26.0587,0.0393,1.196,0.471,False,2018-04-15 15:12:52.378,1.523805172378e+18
120.752,2018-04-15 22:01:43,480.487,11533.0,-107.01528,16.92706,120.0,13.811,13.8114,4.157821,4.157774,0.37805,12.3545,4.5565,0.084217,0.0,4.5565,0.126,0.5104,0.0,4.5167,0.0,0.2238,0.0,0.5095,34.7859,34.7851,26.0648,26.0641,0.0415,1.263,0.4970000000000001,False,2018-04-15 22:09:43.487,1.523830183487e+18
120.752,2018-04-16 15:03:02,340.077,8163.0,-107.0342,16.9438,120.0,13.6318,13.6327,4.141082,4.141113,0.26022,12.3516,4.5598,0.060186,0.0,4.5598,0.0867,0.509,0.0,4.6025,0.0,0.079,0.0,0.5082,34.7918,34.7912,26.1064,26.1058,0.0366,1.115,0.4370000000000001,False,2018-04-16 15:08:42.077,1.523891322077e+18
120.753,2018-04-17 15:03:16,324.353,7785.0,-107.06276,16.97818,120.0,13.5092,13.5089,4.1295150000000005,4.12941,0.22764,12.3506,4.5609,0.069272,0.0,4.5609,0.0759,0.5098,0.0,4.525,0.0,0.1396,0.0,0.5089,34.7947,34.7939,26.1339,26.1334,0.038,1.159,0.453,False,2018-04-17 15:08:40.353,1.523977720353e+18
120.752,2018-04-17 21:04:08,440.388,10570.0,-107.05556,16.9769,120.0,13.7912,13.7912,4.15557,4.155608,0.34218000000000004,12.3542,4.5568,0.17512,0.0,4.5568,0.1141,0.5109,0.0,4.6251,0.0,0.541,0.0,0.51,34.7829,34.7832,26.0665,26.0668,0.043,1.3090000000000002,0.515,False,2018-04-17 21:11:28.388,1.523999488388e+18
120.752,2018-04-18 15:03:03,378.529,9086.0,-107.07448,16.986720000000002,120.0,13.7588,13.7594,4.151863,4.151979,0.34874,12.3557,4.5551,0.10104,0.0,4.5551,0.1162,0.5119,0.0,4.6508,0.0,0.3028,0.0,0.5109,34.7775,34.7781,26.0691,26.0694,0.0443,1.351,0.531,False,2018-04-18 15:09:21.529,1.524064161529e+18
120.753,2018-04-18 22:05:25,437.664,10505.0,-107.05446,16.9959,120.0,13.7063,13.704,4.147482,4.147314,0.35349,12.3554,4.5555,0.19404,0.0,4.5555,0.1178,0.5128,0.0,4.6423,0.0,0.5853,0.0,0.5119,34.7842,34.7847,26.0851,26.086,0.0509,1.5519999999999998,0.609,False,2018-04-18 22:12:42.664,1.524089562664e+18
120.753,2018-04-19 02:15:57,433.249,10399.0,-106.98056,17.01268,120.0,13.7062,13.7055,4.14775,4.1476760000000015,0.34516,12.3533,4.5578,0.050671,0.0,4.5578,0.115,0.5128,0.0,4.6232,0.0,0.0049,0.0,0.512,34.7868,34.7867,26.0872,26.0872,0.0513,1.561,0.613,False,2018-04-19 02:23:10.249,1.524104590249e+18
120.753,2018-04-19 06:07:15,386.078,9267.0,-106.97993999999998,17.02056,120.0,14.0884,14.0861,4.183445,4.183206,0.7350899999999999,12.3644,4.5452,0.050671,0.0,4.5452,0.245,0.5116,0.0,4.6459,0.0,0.0049,0.0,0.5108,34.7737,34.7736,25.9973,25.9977,0.0453,1.38,0.546,False,2018-04-19 06:13:41.078,1.524118421078e+18
120.753,2018-04-19 12:06:26,258.605,6208.0,-106.98002,17.0206,120.0,13.5871,13.5868,4.136759,4.136635,0.3201,12.3521,4.5592,0.050671,0.0,4.5592,0.1067,0.5119,0.0,4.6377,0.0,0.0049,0.0,0.5111,34.7919,34.791,26.1157,26.1151,0.0471,1.433,0.562,False,2018-04-19 12:10:44.605,1.524139844605e+18
120.753,2018-04-19 14:16:42,310.214,7446.0,-106.9801,17.02058,120.0,13.6255,13.6237,4.140285,4.140156,0.31394,12.3538,4.5573,0.050671,0.0,4.5573,0.1046,0.5117,0.0,4.6401,0.0,0.0049,0.0,0.5109,34.7901,34.7905,26.1064,26.1071,0.0463,1.409,0.5529999999999999,False,2018-04-19 14:21:52.214,1.524147712214e+18
120.753,2018-04-19 18:05:49,275.80400000000003,6620.0,-106.98008,17.02056,120.0,13.751,13.7507,4.152161,4.152138,0.29351,12.3561,4.5546,0.31709,0.0,4.5546,0.0979,0.5115,0.0,4.6254,0.0,0.7984,0.0,0.5106,34.7874,34.7874,26.0784,26.0785,0.046,1.402,0.551,False,2018-04-19 18:10:24.804,1.524161424804e+18
120.753,2018-04-19 23:59:38,427.157,10253.0,-106.96682,16.977520000000002,120.0,13.8091,13.8096,4.157881,4.157906,0.29506,12.3574,4.5531,0.050671,0.0,4.5531,0.0984,0.5128,0.0,4.6495,0.0,0.0049,0.0,0.5118,34.7882,34.7879,26.0669,26.0666,0.0502,1.529,0.602,False,2018-04-20 00:06:45.157,1.524182805157e+18
120.753,2018-04-20 06:06:48,419.752,10075.0,-106.97886,16.9843,120.0,13.5412,13.5406,4.132743,4.132619,0.23409,12.3552,4.5557,0.050671,0.0,4.5557,0.078,0.5131,0.0,4.6089,0.0,0.0049,0.0,0.5122,34.7959,34.7952,26.1283,26.1279,0.0511,1.558,0.61,False,2018-04-20 06:13:47.752,1.524204827752e+18
120.753,2018-04-20 11:01:56,366.969,8808.0,-106.97898,16.984379999999998,120.0,13.7967,13.7974,4.156402,4.156492,0.42298,12.3594,4.5509,0.0501,0.0,4.5509,0.141,0.5118,0.0,4.6174,0.0,0.0,0.0,0.5109,34.7856,34.7858,26.0675,26.0675,0.047,1.431,0.563,False,2018-04-20 11:08:02.969,1.524222482969e+18
120.753,2018-04-20 22:34:17,325.139,7804.0,-107.01744,17.04942,120.0,14.0582,14.0574,4.178319,4.178221,0.44982,12.3637,4.546,0.23691,0.0,4.546,0.15,0.5129,0.0,4.5645,0.0,0.6719,0.0,0.5119,34.7533,34.7532,25.9879,25.9879,0.0497,1.513,0.598,False,2018-04-20 22:39:42.139,1.524263982139e+18
