,37.224000000000004
StartTime,2018-04-17 15:03:16
timeS,154.91299999999998
scan,3719.0
longitude,-107.06273999999999
latitude,16.97818
depSMignore,37.0
t090C,23.4162
t190C,23.4155
c0S/m,5.052308
c1S/m,5.051857
flSP,0.40594
CStarAt0,12.4
CStarTr0,4.5049
par,57.672
modError,0.0
v0,4.5049
v1,0.1353
v2,2.5675
v3,0.0
v4,4.5452
v5,0.0
v6,3.0577
v7,0.0
sbeox0V,2.5675
sal00,34.3
sal11,34.2972
sigma-�00,23.2848
sigma-�11,23.2828
sbeox0Mg/L,6.3243
sbox0Mm/Kg,193.138
sbeox0PS,90.525
flag,False
Time,2018-04-17 15:05:50.913000
