,109.681
StartTime,2018-04-15 05:12:33
timeS,247.58700000000002
scan,5943.0
longitude,-106.98002
latitude,17.0206
depSMignore,109.0
t090C,14.1328
t190C,14.1309
c0S/m,4.186945
c1S/m,4.186587
flSP,0.7833600000000001
CStarAt0,12.3658
CStarTr0,4.5437
par,0.050671
modError,0.0
v0,4.5437
v1,0.2611
v2,0.5128
v3,0.0
v4,4.6304
v5,0.0
v6,0.0049
v7,0.0
sbeox0V,0.512
sal00,34.7708
sal11,34.7692
sigma-�00,25.9853
sigma-�11,25.9845
sbeox0Mg/L,0.0501
sbox0Mm/Kg,1.526
sbeox0PS,0.604
flag,False
Time,2018-04-15 05:16:40.587000
