,113.70700000000001
StartTime,2018-04-18 15:03:03
timeS,373.09
scan,8955.0
longitude,-107.07448000000001
latitude,16.986720000000002
depSMignore,113.0
t090C,14.1134
t190C,14.1123
c0S/m,4.183999
c1S/m,4.183857
flSP,0.57147
CStarAt0,12.3639
CStarTr0,4.5458
par,0.17006
modError,0.0
v0,4.5458
v1,0.1905
v2,0.5127
v3,0.0
v4,4.6492
v5,0.0
v6,0.5282
v7,0.0
sbeox0V,0.5117
sal00,34.7592
sal11,34.7589
sigma-�00,25.9806
sigma-�11,25.9806
sbeox0Mg/L,0.0486
sbox0Mm/Kg,1.48
sbeox0PS,0.586
flag,False
Time,2018-04-18 15:09:16.090000
