,58.355
StartTime,2018-04-20 11:01:56
timeS,252.59
scan,6063.0
longitude,-106.97896999999999
latitude,16.984360000000002
depSMignore,58.0
t090C,19.9713
t190C,19.9568
c0S/m,4.70056
c1S/m,4.698262000000001
flSP,0.8754299999999999
CStarAt0,12.3886
CStarTr0,4.5178
par,0.0501
modError,0.0
v0,4.5178
v1,0.2918
v2,2.3922
v3,0.0
v4,0.3528
v5,0.0
v6,0.0
v7,0.0
sbeox0V,2.3921
sal00,34.2562
sal11,34.2493
sigma-�00,24.2048
sigma-�11,24.2033
sbeox0Mg/L,6.0615
sbox0Mm/Kg,184.949
sbeox0PS,81.562
flag,False
Time,2018-04-20 11:06:08.590000
