,39.236999999999995
StartTime,2018-04-20 11:01:56
timeS,214.898
scan,5159.0
longitude,-106.97898
latitude,16.984360000000002
depSMignore,39.0
t090C,24.0501
t190C,24.0421
c0S/m,5.149408
c1S/m,5.148505
flSP,0.16652
CStarAt0,12.3622
CStarTr0,4.5478
par,0.0501
modError,0.0
v0,4.5478
v1,0.0555
v2,2.7831
v3,0.0
v4,4.4381
v5,0.0
v6,0.0
v7,0.0
sbeox0V,2.7831
sal00,34.5441
sal11,34.5435
sigma-�00,23.2838
sigma-�11,23.2857
sbeox0Mg/L,6.9168
sbox0Mm/Kg,211.234
sbeox0PS,100.24
flag,False
Time,2018-04-20 11:05:30.898000
