,35.211999999999996
StartTime,2018-04-19 14:16:53
timeS,142.217
scan,3414.0
longitude,-106.9801
latitude,17.02056
depSMignore,35.0
t090C,23.3981
t190C,23.4007
c0S/m,5.05071
c1S/m,5.0510779999999995
flSP,0.42
CStarAt0,12.4002
CStarTr0,4.5047
par,29.775
modError,0.0
v0,4.5047
v1,0.14
v2,2.5593
v3,0.0
v4,4.5788
v5,0.0
v6,2.7703
v7,0.0
sbeox0V,2.5593
sal00,34.3025
sal11,34.3033
sigma-�00,23.2918
sigma-�11,23.2916
sbeox0Mg/L,6.2957
sbox0Mm/Kg,192.265
sbeox0PS,90.089
flag,False
Time,2018-04-19 14:19:15.217000
