,64.393
StartTime,2018-04-20 22:34:17
timeS,202.007
scan,4849.0
longitude,-107.01744
latitude,17.04942
depSMignore,64.0
t090C,20.4815
t190C,20.3443
c0S/m,4.755738
c1S/m,4.741498
flSP,0.9480200000000001
CStarAt0,12.3969
CStarTr0,4.5084
par,15.181
modError,0.0
v0,4.5084
v1,0.316
v2,2.4969
v3,0.0
v4,4.5017
v5,0.0
v6,2.4778
v7,0.0
sbeox0V,2.4969
sal00,34.2882
sal11,34.284
sigma-�00,24.0945
sigma-�11,24.1278
sbeox0Mg/L,6.4779
sbox0Mm/Kg,197.674
sbeox0PS,87.99700000000001
flag,False
Time,2018-04-20 22:37:39.007000
