,51.31100000000001
StartTime,2018-04-19 18:05:49
timeS,140.656
scan,3377.0
longitude,-106.98013
latitude,17.020570000000003
depSMignore,51.0
t090C,21.9675
t190C,21.9736
c0S/m,4.9031
c1S/m,4.903839
flSP,1.2367
CStarAt0,12.4302
CStarTr0,4.4711
par,75.808
modError,0.0
v0,4.4711
v1,0.4122
v2,2.415
v3,0.0
v4,4.5512
v5,0.0
v6,3.1762
v7,0.0
sbeox0V,2.4149
sal00,34.277
sal11,34.278
sigma-�00,23.6804
sigma-�11,23.6794
sbeox0Mg/L,6.024
sbox0Mm/Kg,183.896
sbeox0PS,84.04299999999999
flag,False
Time,2018-04-19 18:08:09.656000
