,62.38
StartTime,2018-04-18 15:03:03
timeS,269.048
scan,6458.0
longitude,-107.07448000000001
latitude,16.986720000000002
depSMignore,62.0
t090C,19.2907
t190C,19.2819
c0S/m,4.6272910000000005
c1S/m,4.626285
flSP,1.0593
CStarAt0,12.4021
CStarTr0,4.5026
par,9.1423
modError,0.0
v0,4.5026
v1,0.3531
v2,2.1861
v3,0.0
v4,4.5981
v5,0.0
v6,2.2577
v7,0.0
sbeox0V,2.1859
sal00,34.2087
sal11,34.2077
sigma-�00,24.3451
sigma-�11,24.3466
sbeox0Mg/L,5.5292
sbox0Mm/Kg,168.68200000000002
sbeox0PS,73.449
flag,False
Time,2018-04-18 15:07:32.048000
