,48.293
StartTime,2018-04-19 02:15:57
timeS,293.741
scan,7051.0
longitude,-106.98056000000001
latitude,17.01269
depSMignore,48.0
t090C,21.5311
t190C,21.5143
c0S/m,4.860462999999999
c1S/m,4.858617
flSP,1.6369
CStarAt0,12.4563
CStarTr0,4.442
par,0.050669
modError,0.0
v0,4.442
v1,0.5456
v2,2.4033
v3,0.0
v4,4.5599
v5,0.0
v6,0.0049
v7,0.0
sbeox0V,2.4033
sal00,34.2887
sal11,34.2875
sigma-�00,23.81
sigma-�11,23.8137
sbeox0Mg/L,5.9989
sbox0Mm/Kg,183.11
sbeox0PS,83.05
flag,False
Time,2018-04-19 02:20:50.741000
