,107.66799999999999
StartTime,2018-04-15 05:12:33
timeS,261.07
scan,6267.0
longitude,-106.98008999999999
latitude,17.020570000000003
depSMignore,107.0
t090C,14.4795
t190C,14.4871
c0S/m,4.218874
c1S/m,4.219653
flSP,0.59387
CStarAt0,12.3669
CStarTr0,4.5424
par,0.88844
modError,0.0
v0,4.5424
v1,0.198
v2,0.5127
v3,0.0
v4,4.6241
v5,0.0
v6,1.2455
v7,0.0
sbeox0V,0.5118
sal00,34.755
sal11,34.7553
sigma-�00,25.8994
sigma-�11,25.898
sbeox0Mg/L,0.0491
sbox0Mm/Kg,1.4969999999999999
sbeox0PS,0.597
flag,False
Time,2018-04-15 05:16:54.070000
