,41.248999999999995
StartTime,2018-04-15 22:01:43
timeS,316.66900000000004
scan,7601.0
longitude,-107.01528
latitude,16.92708
depSMignore,41.0
t090C,23.6572
t190C,23.6597
c0S/m,5.090077
c1S/m,5.090155
flSP,0.40809
CStarAt0,12.4185
CStarTr0,4.4841
par,39.573
modError,0.0
v0,4.4841
v1,0.136
v2,2.6816
v3,0.0
v4,4.5588
v5,0.0
v6,2.8943
v7,0.0
sbeox0V,2.6816
sal00,34.3991
sal11,34.3978
sigma-�00,23.2898
sigma-�11,23.2881
sbeox0Mg/L,6.5941
sbox0Mm/Kg,201.378
sbeox0PS,94.838
flag,False
Time,2018-04-15 22:06:59.669000
