,42.255
StartTime,2018-04-19 06:07:15
timeS,228.778
scan,5492.0
longitude,-106.97996
latitude,17.02058
depSMignore,42.0
t090C,23.5856
t190C,23.5545
c0S/m,5.073226999999999
c1S/m,5.068745
flSP,0.38668
CStarAt0,12.407
CStarTr0,4.497
par,0.050671
modError,0.0
v0,4.497
v1,0.1289
v2,2.6099
v3,0.0
v4,4.5776
v5,0.0
v6,0.0049
v7,0.0
sbeox0V,2.6099
sal00,34.3263
sal11,34.3163
sigma-�00,23.2555
sigma-�11,23.257
sbeox0Mg/L,6.4261
sbox0Mm/Kg,196.25599999999997
sbeox0PS,92.26899999999999
flag,False
Time,2018-04-19 06:11:03.778000
