Cast,StartTime,timeS,scan,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS,Time
42,2018-04-15 05:12:33,150.7,3618,-107.00062,16.90048,35,23.5097,23.5071,5.061912,5.061679,0.3999,12.4047,4.4997,0.050671,2.5959,34.3013,34.3016,23.2584,23.2594,6.3533,194.03,91.089,2018-04-15 05:15:03.700000
43,2018-04-15 15:06:02,246.625,5920,-107.01704,16.91626,39,23.8689,23.8595,5.113345,5.112134,0.32443,12.388,4.5184,65.83,2.6921,34.412,34.4101,23.2373,23.2386,6.6025,201.644,95.316,2018-04-15 15:10:08.625000
44,2018-04-15 22:01:43,316.669,7601,-107.01528,16.92708,41,23.6572,23.6597,5.090077,5.090155,0.40809,12.4185,4.4841,39.573,2.6816,34.3991,34.3978,23.2898,23.2881,6.5941,201.378,94.838,2018-04-15 22:06:59.669000
45,2018-04-16 15:03:02,180.978,4344,-107.03418,16.94377,37,23.3999,23.3951,5.049821,5.049274,0.35939,12.3984,4.5067,28.01,2.5522,34.2938,34.2932,23.2848,23.2857,6.261,191.208,89.591,2018-04-16 15:06:02.978000
46,2018-04-17 15:03:16,154.913,3719,-107.06274,16.97818,37,23.4162,23.4155,5.052308,5.051857,0.40594,12.4,4.5049,57.672,2.5675,34.3,34.2972,23.2848,23.2828,6.3243,193.138,90.525,2018-04-17 15:05:50.913000
47,2018-04-17 21:04:08,277.447,6660,-107.05556,16.9769,43,23.5077,23.4343,5.061823,5.054073,0.36253,12.423,4.4791,49.122,2.5836,34.2994,34.2975,23.2578,23.2778,6.3132,192.807,90.509,2018-04-17 21:08:45.447000
48,2018-04-18 15:03:03,213.209,5118,-107.07448,16.98672,34,24.2038,24.188,5.169136,5.16707,0.17711,12.3654,4.5441,82.923,2.8051,34.5753,34.5719,23.2616,23.2637,6.955,212.406,101.081,2018-04-18 15:06:36.209000
49,2018-04-18 22:05:25,299.081,7179,-107.05446,16.9959,43,23.9902,23.9826,5.140814,5.139487,0.20071,12.3816,4.5257,71.656,2.7749,34.5242,34.52,23.2867,23.2857,6.8813,210.149,99.611,2018-04-18 22:10:24.081000
50,2018-04-19 02:15:57,265.969,6384,-106.98056,17.01269,34,23.5124,23.4958,5.063412,5.061585,0.48775,12.4256,4.4761,0.050671,2.6073,34.311,34.3099,23.2649,23.2689,6.4231,196.161,92.1,2018-04-19 02:20:22.969000
51,2018-04-19 06:07:15,228.778,5492,-106.97996,17.02058,42,23.5856,23.5545,5.073227,5.068745,0.38668,12.407,4.497,0.050671,2.6099,34.3263,34.3163,23.2555,23.257,6.4261,196.256,92.269,2018-04-19 06:11:03.778000
52,2018-04-19 12:06:26,95.667,2297,-106.98,17.02062,36,23.5422,23.5412,5.065996,5.065824,0.3465,12.3973,4.5079,0.050671,2.5812,34.3069,34.3063,23.2532,23.2531,6.3523,194.001,91.129,2018-04-19 12:08:01.667000
53,2018-04-19 14:16:53,142.217,3414,-106.9801,17.02056,35,23.3981,23.4007,5.05071,5.051078,0.42,12.4002,4.5047,29.775,2.5593,34.3025,34.3033,23.2918,23.2916,6.2957,192.265,90.089,2018-04-19 14:19:15.217000
54,2018-04-19 18:05:49,130.22,3126,-106.98014,17.02058,46,23.4275,23.4207,5.054724,5.053848,0.40562,12.4087,4.4951,117.1,2.5803,34.3068,34.3053,23.2871,23.288,6.3682,194.48,91.174,2018-04-19 18:07:59.220000
55,2018-04-19 23:59:38,251.024,6026,-106.96678,16.97748,31,24.855,24.8516,5.233912,5.23339,0.1842,12.3793,4.5283,20.964,2.8231,34.5586,34.5574,23.0537,23.0537,6.9439,212.111,102.042,2018-04-20 00:03:49.024000
56,2018-04-20 06:06:48,271.543,6518,-106.97886,16.98433,38,24.5674,24.5634,5.205083,5.205619,0.183,12.3717,4.5369,0.050671,2.799,34.5627,34.5697,23.1438,23.1503,6.8869,210.35,100.71,2018-04-20 06:11:19.543000
57,2018-04-20 11:01:56,214.898,5159,-106.97898,16.98436,39,24.0501,24.0421,5.149408,5.148505,0.16652,12.3622,4.5478,0.0501,2.7831,34.5441,34.5435,23.2838,23.2857,6.9168,211.234,100.24,2018-04-20 11:05:30.898000
58,2018-04-20 22:34:17,148.997,3577,-107.01742,17.04944,41,23.8458,23.8445,5.118385,5.118675,0.21998,12.3868,4.5198,61.157,2.7697,34.4674,34.4706,23.2862,23.289,6.8968,210.624,99.556,2018-04-20 22:36:45.997000
