,60.367
StartTime,2018-04-19 23:59:38
timeS,316.756
scan,7603.0
longitude,-106.9668
latitude,16.97755
depSMignore,60.0
t090C,19.9846
t190C,19.9976
c0S/m,4.698489
c1S/m,4.6997349999999996
flSP,1.1027
CStarAt0,12.4259
CStarTr0,4.4759
par,4.8359
modError,0.0
v0,4.4759
v1,0.3676
v2,2.3609
v3,0.0
v4,4.5828
v5,0.0
v6,1.9809
v7,0.0
sbeox0V,2.3608
sal00,34.2277
sal11,34.2273
sigma-�00,24.1796
sigma-�11,24.1759
sbeox0Mg/L,6.0178
sbox0Mm/Kg,183.618
sbeox0PS,80.97800000000001
flag,False
Time,2018-04-20 00:04:54.756000
