,119.74600000000001
StartTime,2018-04-19 06:07:15
timeS,384.889
scan,9238.0
longitude,-106.97993999999998
latitude,17.02058
depSMignore,119.0
t090C,14.1739
t190C,14.1656
c0S/m,4.191375
c1S/m,4.190546
flSP,0.7439100000000001
CStarAt0,12.3676
CStarTr0,4.5416
par,0.050671
modError,0.0
v0,4.5416
v1,0.248
v2,0.5117
v3,0.0
v4,4.646
v5,0.0
v6,0.0049
v7,0.0
sbeox0V,0.5109
sal00,34.7707
sal11,34.7705
sigma-�00,25.9769
sigma-�11,25.9785
sbeox0Mg/L,0.0462
sbox0Mm/Kg,1.4080000000000001
sbeox0PS,0.5579999999999999
flag,False
Time,2018-04-19 06:13:39.889000
