,34.205999999999996
StartTime,2018-04-18 15:03:03
timeS,213.209
scan,5118.0
longitude,-107.07448000000001
latitude,16.986720000000002
depSMignore,34.0
t090C,24.2038
t190C,24.188
c0S/m,5.169136
c1S/m,5.16707
flSP,0.17711
CStarAt0,12.3654
CStarTr0,4.5441
par,82.92299999999999
modError,0.0
v0,4.5441
v1,0.059
v2,2.8051
v3,0.0
v4,4.5595
v5,0.0
v6,3.2155
v7,0.0
sbeox0V,2.8051
sal00,34.5753
sal11,34.5719
sigma-�00,23.2616
sigma-�11,23.2637
sbeox0Mg/L,6.955
sbox0Mm/Kg,212.40599999999998
sbeox0PS,101.081
flag,False
Time,2018-04-18 15:06:36.209000
