,114.713
StartTime,2018-04-15 05:12:33
timeS,309.212
scan,7422.0
longitude,-107.00062
latitude,16.900489999999998
depSMignore,114.0
t090C,14.1668
t190C,14.1647
c0S/m,4.190473
c1S/m,4.190245
flSP,0.6679
CStarAt0,12.3663
CStarTr0,4.543
par,0.050671
modError,0.0
v0,4.543
v1,0.2226
v2,0.5086
v3,0.0
v4,4.5515
v5,0.0
v6,0.0049
v7,0.0
sbeox0V,0.5078
sal00,34.7708
sal11,34.7705
sigma-�00,25.9783
sigma-�11,25.9785
sbeox0Mg/L,0.0345
sbox0Mm/Kg,1.051
sbeox0PS,0.41600000000000004
flag,False
Time,2018-04-15 05:17:42.212000
