,43.262
StartTime,2018-04-18 22:05:25
timeS,299.08099999999996
scan,7179.0
longitude,-107.05446
latitude,16.9959
depSMignore,43.0
t090C,23.9902
t190C,23.9826
c0S/m,5.140814
c1S/m,5.139487
flSP,0.20071
CStarAt0,12.3816
CStarTr0,4.5257
par,71.656
modError,0.0
v0,4.5257
v1,0.0669
v2,2.7748
v3,0.0
v4,4.5643
v5,0.0
v6,3.152
v7,0.0
sbeox0V,2.7749
sal00,34.5242
sal11,34.52
sigma-�00,23.2867
sigma-�11,23.2857
sbeox0Mg/L,6.8813
sbox0Mm/Kg,210.149
sbeox0PS,99.611
flag,False
Time,2018-04-18 22:10:24.081000
