,34.205999999999996
StartTime,2018-04-19 02:15:57
timeS,265.969
scan,6384.0
longitude,-106.98056000000001
latitude,17.01269
depSMignore,34.0
t090C,23.5124
t190C,23.4958
c0S/m,5.0634120000000005
c1S/m,5.061585
flSP,0.48775
CStarAt0,12.4256
CStarTr0,4.4761
par,0.050671
modError,0.0
v0,4.4761
v1,0.1626
v2,2.6073
v3,0.0
v4,4.5259
v5,0.0
v6,0.0049
v7,0.0
sbeox0V,2.6073
sal00,34.311
sal11,34.3099
sigma-�00,23.2649
sigma-�11,23.2689
sbeox0Mg/L,6.4231
sbox0Mm/Kg,196.16099999999997
sbeox0PS,92.1
flag,False
Time,2018-04-19 02:20:22.969000
