,49.299
StartTime,2018-04-17 21:04:08
timeS,289.04400000000004
scan,6938.0
longitude,-107.05556000000001
latitude,16.9769
depSMignore,49.0
t090C,21.8684
t190C,21.864
c0S/m,4.891763
c1S/m,4.8911690000000005
flSP,1.4235
CStarAt0,12.4481
CStarTr0,4.4511
par,31.156999999999996
modError,0.0
v0,4.4511
v1,0.4745
v2,2.3401
v3,0.0
v4,4.526
v5,0.0
v6,2.7899
v7,0.0
sbeox0V,2.34
sal00,34.2672
sal11,34.266
sigma-�00,23.7004
sigma-�11,23.7007
sbeox0Mg/L,5.8214
sbox0Mm/Kg,177.709
sbeox0PS,81.069
flag,False
Time,2018-04-17 21:08:57.044000
