,105.655
StartTime,2018-04-20 06:06:48
timeS,404.18699999999995
scan,9701.0
longitude,-106.97886000000001
latitude,16.98432
depSMignore,105.0
t090C,14.2331
t190C,14.2309
c0S/m,4.196141000000001
c1S/m,4.195829
flSP,0.62575
CStarAt0,12.3766
CStarTr0,4.5314
par,0.050671
modError,0.0
v0,4.5314
v1,0.2086
v2,0.5162
v3,0.0
v4,4.5604
v5,0.0
v6,0.0049
v7,0.0
sbeox0V,0.5152
sal00,34.7673
sal11,34.7664
sigma-�00,25.9613
sigma-�11,25.961
sbeox0Mg/L,0.0578
sbox0Mm/Kg,1.76
sbeox0PS,0.698
flag,False
Time,2018-04-20 06:13:32.187000
