,53.324
StartTime,2018-04-19 12:06:26
timeS,130.77700000000002
scan,3140.0
longitude,-106.98006000000001
latitude,17.02059
depSMignore,53.0
t090C,21.4816
t190C,21.4772
c0S/m,4.855138
c1S/m,4.854623999999999
flSP,1.1904
CStarAt0,12.4318
CStarTr0,4.4693
par,0.050738
modError,0.0
v0,4.4693
v1,0.3968
v2,2.3636
v3,0.0
v4,3.4803
v5,0.0
v6,0.0055
v7,0.0
sbeox0V,2.3636
sal00,34.2842
sal11,34.2836
sigma-�00,23.8203
sigma-�11,23.8211
sbeox0Mg/L,5.8518
sbox0Mm/Kg,178.61700000000002
sbeox0PS,80.942
flag,False
Time,2018-04-19 12:08:36.777000
